Repository Name,Repository Username,Stars Received,Repository URL
atom,atom,59300, https://github.com/atom/atom
themer,themerdev,5100, https://github.com/themerdev/themer
v2,miniflux,4900, https://github.com/miniflux/v2
markdown-preview-enhanced,shd101wyy,3900, https://github.com/shd101wyy/markdown-preview-enhanced
hydrogen,nteract,3900, https://github.com/nteract/hydrogen
teletype,atom,2400, https://github.com/atom/teletype
gofeed,mmcdole,2100, https://github.com/mmcdole/gofeed
CommandlineConfig,NaiboWang,2000, https://github.com/NaiboWang/CommandlineConfig
awesome-atom,mehcode,1900, https://github.com/mehcode/awesome-atom
feedparser,kurtmckee,1600, https://github.com/kurtmckee/feedparser
go-plus,joefitzgerald,1500, https://github.com/joefitzgerald/go-plus
atom-beautify,Glavin001,1500, https://github.com/Glavin001/atom-beautify
simplepie,simplepie,1500, https://github.com/simplepie/simplepie
merlin,ocaml,1500, https://github.com/ocaml/merlin
feeds,feeddd,1400, https://github.com/feeddd/feeds
atom-vim-mode-plus,t9md,1400, https://github.com/t9md/atom-vim-mode-plus
MagicPython,MagicStack,1400, https://github.com/MagicStack/MagicPython
apm,atom,1300, https://github.com/atom/apm
atom,file-icons,1300, https://github.com/file-icons/atom
kotlin-language-server,fwcd,1200, https://github.com/fwcd/kotlin-language-server
