Repository Name,Repository Username,Stars Received,Repository URL
awesome,sindresorhus,248000, https://github.com/sindresorhus/awesome
awesome-python,vinta,162000, https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,127000, https://github.com/awesome-selfhosted/awesome-selfhosted
awesome-go,avelino,99500, https://github.com/avelino/awesome-go
the-book-of-secret-knowledge,trimstray,94800, https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,71100, https://github.com/papers-we-love/papers-we-love
HelloGitHub,521xueweihan,67200, https://github.com/521xueweihan/HelloGitHub
Awesome-Hacking,Hack-with-Github,63500, https://github.com/Hack-with-Github/Awesome-Hacking
awesome-mac,jaywcjlove,59500, https://github.com/jaywcjlove/awesome-mac
awesome-interview-questions,DopplerHQ,54600, https://github.com/DopplerHQ/awesome-interview-questions
awesome-nodejs,sindresorhus,50600, https://github.com/sindresorhus/awesome-nodejs
awesome-for-beginners,MunGell,50100, https://github.com/MunGell/awesome-for-beginners
awesome-courses,prakhar1989,46500, https://github.com/prakhar1989/awesome-courses
awesome-flutter,Solido,46200, https://github.com/Solido/awesome-flutter
awesome-android-ui,wasabeef,46000, https://github.com/wasabeef/awesome-android-ui
awesome-cpp,fffaraz,45200, https://github.com/fffaraz/awesome-cpp
awesome-scalability,binhnguyennus,44500, https://github.com/binhnguyennus/awesome-scalability
awesome-ios,vsouza,42500, https://github.com/vsouza/awesome-ios
github-cheat-sheet,tiimgreen,40500, https://github.com/tiimgreen/github-cheat-sheet
frontend-dev-bookmarks,dypsilon,38000, https://github.com/dypsilon/frontend-dev-bookmarks
