Repository Name,Repository Username,Stars Received,Repository URL
devops-exercises,bregman-arie,42100, https://github.com/bregman-arie/devops-exercises
pulumi,pulumi,15600, https://github.com/pulumi/pulumi
recommenders,microsoft,15400, https://github.com/microsoft/recommenders
awesome-kubernetes,ramitsurana,13800, https://github.com/ramitsurana/awesome-kubernetes
azure-quickstart-templates,Azure,12800, https://github.com/Azure/azure-quickstart-templates
sops,mozilla,12600, https://github.com/mozilla/sops
caprover,caprover,10200, https://github.com/caprover/caprover
go-cloud,google,9000, https://github.com/google/go-cloud
computervision-recipes,microsoft,8900, https://github.com/microsoft/computervision-recipes
infracost,infracost,8900, https://github.com/infracost/infracost
prowler,prowler-cloud,8000, https://github.com/prowler-cloud/prowler
azuredatastudio,microsoft,7100, https://github.com/microsoft/azuredatastudio
formidable,node-formidable,6600, https://github.com/node-formidable/formidable
metaflow,Netflix,6600, https://github.com/Netflix/metaflow
midway,midwayjs,6500, https://github.com/midwayjs/midway
clean-code-dotnet,thangchung,6000, https://github.com/thangchung/clean-code-dotnet
tfsec,aquasecurity,5800, https://github.com/aquasecurity/tfsec
docker-android,budtmo,5600, https://github.com/budtmo/docker-android
checkov,bridgecrewio,5500, https://github.com/bridgecrewio/checkov
ScoutSuite,nccgroup,5300, https://github.com/nccgroup/ScoutSuite
