Repository Name,Repository Username,Stars Received,Repository URL
CS-Notes,CyC2018,163000, https://github.com/CyC2018/CS-Notes
project-based-learning,practical-tutorials,96900, https://github.com/practical-tutorials/project-based-learning
leetcode,azl397985856,51000, https://github.com/azl397985856/leetcode
awesome-cpp,fffaraz,45200, https://github.com/fffaraz/awesome-cpp
x64dbg,x64dbg,40300, https://github.com/x64dbg/x64dbg
leetcode-master,youngyangyang04,37500, https://github.com/youngyangyang04/leetcode-master
carbon-lang,carbon-language,30200, https://github.com/carbon-language/carbon-lang
interview,huihut,28500, https://github.com/huihut/interview
calculator,microsoft,27000, https://github.com/microsoft/calculator
openpose,CMU-Perceptual-Computing-Lab,26700, https://github.com/CMU-Perceptual-Computing-Lab/openpose
yuzu,yuzu-emu,24600, https://github.com/yuzu-emu/yuzu
C-Plus-Plus,TheAlgorithms,23900, https://github.com/TheAlgorithms/C-Plus-Plus
leetcode,doocs,21700, https://github.com/doocs/leetcode
modern-cpp-tutorial,changkun,20500, https://github.com/changkun/modern-cpp-tutorial
solidity,ethereum,19900, https://github.com/ethereum/solidity
dragonfly,dragonflydb,18800, https://github.com/dragonflydb/dragonfly
vcpkg,microsoft,18300, https://github.com/microsoft/vcpkg
spdlog,gabime,17500, https://github.com/gabime/spdlog
tinyrenderer,ssloy,16600, https://github.com/ssloy/tinyrenderer
Catch2,catchorg,16500, https://github.com/catchorg/Catch2
