Repository Name,Repository Username,Stars Received,Repository URL
scrcpy,Genymobile,80700, https://github.com/Genymobile/scrcpy
neovim,neovim,64599, https://github.com/neovim/neovim
obs-studio,obsproject,46800, https://github.com/obsproject/obs-studio
git,git,45900, https://github.com/git/git
awesome-cpp,fffaraz,45200, https://github.com/fffaraz/awesome-cpp
FFmpeg,FFmpeg,35400, https://github.com/FFmpeg/FFmpeg
open-source-mac-os-apps,serhii-londar,34900, https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,30000, https://github.com/vim/vim
curl,curl,29200, https://github.com/curl/curl
interview,huihut,28500, https://github.com/huihut/interview
the_silver_searcher,ggreer,24800, https://github.com/ggreer/the_silver_searcher
rufus,pbatard,22500, https://github.com/pbatard/rufus
mpv,mpv-player,22000, https://github.com/mpv-player/mpv
srs,ossrs,21200, https://github.com/ossrs/srs
flatbuffers,google,20200, https://github.com/google/flatbuffers
ruby,ruby,20200, https://github.com/ruby/ruby
graal,oracle,18400, https://github.com/oracle/graal
vcpkg,microsoft,18300, https://github.com/microsoft/vcpkg
kitty,kovidgoyal,18300, https://github.com/kovidgoyal/kitty
radare2,radareorg,17900, https://github.com/radareorg/radare2
