Repository Name,Repository Username,Stars Received,Repository URL
bypass-paywalls-chrome,iamadamdev,35000, https://github.com/iamadamdev/bypass-paywalls-chrome
linux-command,jaywcjlove,23500, https://github.com/jaywcjlove/linux-command
refined-github,refined-github,20800, https://github.com/refined-github/refined-github
darkreader,darkreader,16400, https://github.com/darkreader/darkreader
headless-recorder,checkly,14700, https://github.com/checkly/headless-recorder
openai-translator,yetone,14200, https://github.com/yetone/openai-translator
codelf,unbug,13500, https://github.com/unbug/codelf
chatgpt-google-extension,wong2,12700, https://github.com/wong2/chatgpt-google-extension
daily,dailydotdev,12300, https://github.com/dailydotdev/daily
return-youtube-dislike,Anarios,10900, https://github.com/Anarios/return-youtube-dislike
SingleFile,gildas-lormeau,10700, https://github.com/gildas-lormeau/SingleFile
ext-saladict,crimx,10600, https://github.com/crimx/ext-saladict
listen1_chrome_extension,listen1,9900, https://github.com/listen1/listen1_chrome_extension
screenity,alyssaxuu,8100, https://github.com/alyssaxuu/screenity
dejavu,appbaseio,8100, https://github.com/appbaseio/dejavu
simpread,Kenshin,7000, https://github.com/Kenshin/simpread
SponsorBlock,ajayyy,6700, https://github.com/ajayyy/SponsorBlock
automa,AutomaApp,6600, https://github.com/AutomaApp/automa
omni,alyssaxuu,6200, https://github.com/alyssaxuu/omni
buster,dessant,5800, https://github.com/dessant/buster
