Repository Name,Repository Username,Stars Received,Repository URL
octotree,ovity,22400, https://github.com/ovity/octotree
gitpod,gitpod-io,10500, https://github.com/gitpod-io/gitpod
reviewdog,reviewdog,6200, https://github.com/reviewdog/reviewdog
danger,danger,5100, https://github.com/danger/danger
danger-js,danger,4900, https://github.com/danger/danger-js
awesome-code-review,joho,3900, https://github.com/joho/awesome-code-review
nodejsscan,ajinabraham,2100, https://github.com/ajinabraham/nodejsscan
vscode-pull-request-github,microsoft,2000, https://github.com/microsoft/vscode-pull-request-github
hound,houndci,1900, https://github.com/houndci/hound
mutant,mbj,1900, https://github.com/mbj/mutant
cargo-crev,crev-dev,1800, https://github.com/crev-dev/cargo-crev
reviewboard,reviewboard,1500, https://github.com/reviewboard/reviewboard
CodeAnalysis,Tencent,1400, https://github.com/Tencent/CodeAnalysis
code-review-tips,ryanmcdermott,1300, https://github.com/ryanmcdermott/code-review-tips
python_sec,bit4woo,1200, https://github.com/bit4woo/python_sec
java-concurrency,code-review-checklists,1200, https://github.com/code-review-checklists/java-concurrency
codestream,TeamCodeStream,866, https://github.com/TeamCodeStream/codestream
Audit-Learning,jiangsir404,864, https://github.com/jiangsir404/Audit-Learning
enlightn,enlightn,769, https://github.com/enlightn/enlightn
policy-bot,palantir,602, https://github.com/palantir/policy-bot
