Repository Name,Repository Username,Stars Received,Repository URL
crystal,crystal-lang,18400, https://github.com/crystal-lang/crystal
kemal,kemalcr,3500, https://github.com/kemalcr/kemal
awesome-crystal,veelenga,3100, https://github.com/veelenga/awesome-crystal
amber,amberframework,2500, https://github.com/amberframework/amber
lucky,luckyframework,2400, https://github.com/luckyframework/lucky
Mango,getmango,1400, https://github.com/getmango/Mango
lilith,ffwff,1100, https://github.com/ffwff/lilith
fib,drujensen,810, https://github.com/drujensen/fib
hetzner-k3s,vitobotta,767, https://github.com/vitobotta/hetzner-k3s
amethyst,amethyst-framework,646, https://github.com/amethyst-framework/amethyst
crystal-by-example,askn,538, https://github.com/askn/crystal-by-example
icr,crystal-community,493, https://github.com/crystal-community/icr
ameba,crystal-ameba,463, https://github.com/crystal-ameba/ameba
crystal-pg,will,433, https://github.com/will/crystal-pg
vim-crystal,vim-crystal,396, https://github.com/vim-crystal/vim-crystal
jennifer.cr,imdrasil,391, https://github.com/imdrasil/jennifer.cr
Programming-Language-Benchmarks,hanabi1224,389, https://github.com/hanabi1224/Programming-Language-Benchmarks
crystal-redis,stefanwille,377, https://github.com/stefanwille/crystal-redis
crystal-book,crystal-lang,363, https://github.com/crystal-lang/crystal-book
irs,cooperhammond,358, https://github.com/cooperhammond/irs
