Repository Name,Repository Username,Stars Received,Repository URL
javascript,airbnb,133000, https://github.com/airbnb/javascript
nodebestpractices,goldbergyoni,88500, https://github.com/goldbergyoni/nodebestpractices
standard,standard,28100, https://github.com/standard/standard
eslint,eslint,22500, https://github.com/eslint/eslint
electron-react-boilerplate,electron-react-boilerplate,21100, https://github.com/electron-react-boilerplate/electron-react-boilerplate
js-stack-from-scratch,verekia,19800, https://github.com/verekia/js-stack-from-scratch
front-end-guide,grab,14800, https://github.com/grab/front-end-guide
typescript-eslint,typescript-eslint,13200, https://github.com/typescript-eslint/typescript-eslint
lint-staged,okonet,11700, https://github.com/okonet/lint-staged
eslint-plugin-react,jsx-eslint,8400, https://github.com/jsx-eslint/eslint-plugin-react
xo,xojs,7100, https://github.com/xojs/xo
rushstack,microsoft,4900, https://github.com/microsoft/rushstack
eslint-plugin-import,import-js,4700, https://github.com/import-js/eslint-plugin-import
snowflake,bartonhammond,4600, https://github.com/bartonhammond/snowflake
eslint-config-prettier,prettier,4500, https://github.com/prettier/eslint-config-prettier
lsp-mode,emacs-lsp,4400, https://github.com/emacs-lsp/lsp-mode
flowbite,themesberg,4300, https://github.com/themesberg/flowbite
eslint-plugin-vue,vuejs,4000, https://github.com/vuejs/eslint-plugin-vue
prettier-eslint,prettier,3700, https://github.com/prettier/prettier-eslint
Next-js-Boilerplate,ixartz,3700, https://github.com/ixartz/Next-js-Boilerplate
