Repository Name,Repository Username,Stars Received,Repository URL
vscode,microsoft,145000, https://github.com/microsoft/vscode
electron,electron,107000, https://github.com/electron/electron
atom,atom,59300, https://github.com/atom/atom
clash_for_windows_pkg,Fndroid,50700, https://github.com/Fndroid/clash_for_windows_pkg
playwright,microsoft,49500, https://github.com/microsoft/playwright
marktext,marktext,39300, https://github.com/marktext/marktext
edex-ui,GitSquared,36800, https://github.com/GitSquared/edex-ui
Motrix,agalwood,36600, https://github.com/agalwood/Motrix
joplin,laurent22,35300, https://github.com/laurent22/joplin
nativefier,nativefier,33300, https://github.com/nativefier/nativefier
typeorm,typeorm,30900, https://github.com/typeorm/typeorm
nylas-mail,nylas,24700, https://github.com/nylas/nylas-mail
awesome-electron,sindresorhus,24100, https://github.com/sindresorhus/awesome-electron
quasar,quasarframework,23200, https://github.com/quasarframework/quasar
YesPlayMusic,qier222,22800, https://github.com/qier222/YesPlayMusic
notable,notable,21500, https://github.com/notable/notable
electron-react-boilerplate,electron-react-boilerplate,21100, https://github.com/electron-react-boilerplate/electron-react-boilerplate
trilium,zadam,20700, https://github.com/zadam/trilium
PicGo,Molunerfinn,20200, https://github.com/Molunerfinn/PicGo
SwitchHosts,oldj,19900, https://github.com/oldj/SwitchHosts
