Repository Name,Repository Username,Stars Received,Repository URL
phoenix,phoenixframework,19400, https://github.com/phoenixframework/phoenix
asdf,asdf-vm,17200, https://github.com/asdf-vm/asdf
analytics,plausible,14400, https://github.com/plausible/analytics
dogehouse,benawad,9200, https://github.com/benawad/dogehouse
awesomo,lk-geimfari,8900, https://github.com/lk-geimfari/awesomo
translations,oldratlee,6500, https://github.com/oldratlee/translations
realtime,supabase,5800, https://github.com/supabase/realtime
papercups,papercups-io,5200, https://github.com/papercups-io/papercups
credo,rrrene,4600, https://github.com/rrrene/credo
elixir_style_guide,christopheradams,4200, https://github.com/christopheradams/elixir_style_guide
absinthe,absinthe-graphql,4100, https://github.com/absinthe-graphql/absinthe
firezone,firezone,4000, https://github.com/firezone/firezone
rustler,rusterlium,3700, https://github.com/rusterlium/rustler
livebook,livebook-dev,3400, https://github.com/livebook-dev/livebook
elixirschool,elixirschool,3400, https://github.com/elixirschool/elixirschool
guardian,ueberauth,3300, https://github.com/ueberauth/guardian
dependabot-core,dependabot,3300, https://github.com/dependabot/dependabot-core
distillery,bitwalker,2900, https://github.com/bitwalker/distillery
changelog.com,thechangelog,2500, https://github.com/thechangelog/changelog.com
ergo,ergo-services,2400, https://github.com/ergo-services/ergo
