Repository Name,Repository Username,Stars Received,Repository URL
go-ethereum,ethereum,41800, https://github.com/ethereum/go-ethereum
ccxt,ccxt,27800, https://github.com/ccxt/ccxt
openzeppelin-contracts,OpenZeppelin,21900, https://github.com/OpenZeppelin/openzeppelin-contracts
solidity,ethereum,19900, https://github.com/ethereum/solidity
ethereumbook,ethereumbook,17600, https://github.com/ethereumbook/ethereumbook
web3.js,web3,17200, https://github.com/web3/web3.js
sismo-badges,sismo-core,16200, https://github.com/sismo-core/sismo-badges
truffle,trufflesuite,13800, https://github.com/trufflesuite/truffle
full-blockchain-solidity-course-py,smartcontractkit,9800, https://github.com/smartcontractkit/full-blockchain-solidity-course-py
metamask-extension,MetaMask,9600, https://github.com/MetaMask/metamask-extension
scaffold-eth,scaffold-eth,8600, https://github.com/scaffold-eth/scaffold-eth
DeFi-Developer-Road-Map,OffcierCia,8400, https://github.com/OffcierCia/DeFi-Developer-Road-Map
full-blockchain-solidity-course-js,smartcontractkit,8300, https://github.com/smartcontractkit/full-blockchain-solidity-course-js
mist,ethereum,7400, https://github.com/ethereum/mist
WTF-Solidity,AmazingAng,6800, https://github.com/AmazingAng/WTF-Solidity
parity-ethereum,openethereum,6700, https://github.com/openethereum/parity-ethereum
smart-contract-best-practices,ConsenSys,6600, https://github.com/ConsenSys/smart-contract-best-practices
ethers.js,ethers-io,6500, https://github.com/ethers-io/ethers.js
blockchain_guide,yeasy,6500, https://github.com/yeasy/blockchain_guide
capstone,capstone-engine,6300, https://github.com/capstone-engine/capstone
