Repository Name,Repository Username,Stars Received,Repository URL
nodebestpractices,goldbergyoni,88500, https://github.com/goldbergyoni/nodebestpractices
express,expressjs,60500, https://github.com/expressjs/express
fiber,gofiber,25700, https://github.com/gofiber/fiber
passport,jaredhanson,21300, https://github.com/jaredhanson/passport
javascript-testing-best-practices,goldbergyoni,21200, https://github.com/goldbergyoni/javascript-testing-best-practices
N-blog,nswbmw,15200, https://github.com/nswbmw/N-blog
apollo-server,apollographql,13300, https://github.com/apollographql/apollo-server
mean,linnovate,12200, https://github.com/linnovate/mean
node-elm,bailicangdu,11900, https://github.com/bailicangdu/node-elm
postgraphile,graphile,11900, https://github.com/graphile/postgraphile
TypeScript-Node-Starter,microsoft,11000, https://github.com/microsoft/TypeScript-Node-Starter
payload,payloadcms,9900, https://github.com/payloadcms/payload
http-proxy-middleware,chimurai,9800, https://github.com/chimurai/http-proxy-middleware
art-template,aui,9800, https://github.com/aui/art-template
habitica,HabitRPG,9700, https://github.com/HabitRPG/habitica
Winds,GetStream,8800, https://github.com/GetStream/Winds
any-rule,any86,7600, https://github.com/any86/any-rule
morgan,expressjs,7400, https://github.com/expressjs/morgan
nodejs-learning-guide,chyingp,6700, https://github.com/chyingp/nodejs-learning-guide
express-validator,express-validator,5800, https://github.com/express-validator/express-validator
