Repository Name,Repository Username,Stars Received,Repository URL
supabase,supabase,48000, https://github.com/supabase/supabase
appwrite,appwrite,30500, https://github.com/appwrite/appwrite
react-starter-kit,kriasoft,21800, https://github.com/kriasoft/react-starter-kit
rxdb,pubkey,19100, https://github.com/pubkey/rxdb
functions-samples,firebase,11600, https://github.com/firebase/functions-samples
react-native-firebase,invertase,10700, https://github.com/invertase/react-native-firebase
quickstart-android,firebase,8400, https://github.com/firebase/quickstart-android
flutterfire,firebase,7600, https://github.com/firebase/flutterfire
angularfire,angular,7400, https://github.com/angular/angularfire
nhost,nhost,6500, https://github.com/nhost/nhost
GmsCore,microg,5500, https://github.com/microg/GmsCore
Fakeflix,Th3Wall,4800, https://github.com/Th3Wall/Fakeflix
rowy,rowyio,4600, https://github.com/rowyio/rowy
FirebaseUI-Android,firebase,4500, https://github.com/firebase/FirebaseUI-Android
material-kit-react,devias-io,4500, https://github.com/devias-io/material-kit-react
react-firebase-starter,kriasoft,4500, https://github.com/kriasoft/react-firebase-starter
firebase-js-sdk,firebase,4400, https://github.com/firebase/firebase-js-sdk
firebase-ios-sdk,firebase,4400, https://github.com/firebase/firebase-ios-sdk
laf,labring,4000, https://github.com/labring/laf
wild-workouts-go-ddd-example,ThreeDotsLabs,4000, https://github.com/ThreeDotsLabs/wild-workouts-go-ddd-example
