Repository Name,Repository Username,Stars Received,Repository URL
playwright,microsoft,49500, https://github.com/microsoft/playwright
mkcert,FiloSottile,40300, https://github.com/FiloSottile/mkcert
uBlock,gorhill,35200, https://github.com/gorhill/uBlock
bypass-paywalls-chrome,iamadamdev,35000, https://github.com/iamadamdev/bypass-paywalls-chrome
octotree,ovity,22400, https://github.com/ovity/octotree
ArchiveBox,ArchiveBox,15500, https://github.com/ArchiveBox/ArchiveBox
firefox-ios,mozilla-mobile,11300, https://github.com/mozilla-mobile/firefox-ios
return-youtube-dislike,Anarios,10900, https://github.com/Anarios/return-youtube-dislike
SingleFile,gildas-lormeau,10700, https://github.com/gildas-lormeau/SingleFile
ext-saladict,crimx,10600, https://github.com/crimx/ext-saladict
metamask-extension,MetaMask,9600, https://github.com/MetaMask/metamask-extension
playwright-python,microsoft,8400, https://github.com/microsoft/playwright-python
uBlock,uBlock-LLC,8100, https://github.com/uBlock-LLC/uBlock
user.js,arkenfox,7300, https://github.com/arkenfox/user.js
HackBrowserData,moonD4rk,7300, https://github.com/moonD4rk/HackBrowserData
simpread,Kenshin,7000, https://github.com/Kenshin/simpread
SponsorBlock,ajayyy,6700, https://github.com/ajayyy/SponsorBlock
fenix,mozilla-mobile,6600, https://github.com/mozilla-mobile/fenix
geckodriver,mozilla,6500, https://github.com/mozilla/geckodriver
omni,alyssaxuu,6200, https://github.com/alyssaxuu/omni
