Repository Name,Repository Username,Stars Received,Repository URL
Font-Awesome,FortAwesome,71200, https://github.com/FortAwesome/Font-Awesome
FiraCode,tonsky,69500, https://github.com/tonsky/FiraCode
nerd-fonts,ryanoasis,42800, https://github.com/ryanoasis/nerd-fonts
You-Dont-Need-JavaScript,you-dont-need,18100, https://github.com/you-dont-need/You-Dont-Need-JavaScript
Iosevka,be5invis,15700, https://github.com/be5invis/Iosevka
Hack,source-foundry,15500, https://github.com/source-foundry/Hack
inter,rsms,15200, https://github.com/rsms/inter
awesome-design,gztchan,14500, https://github.com/gztchan/awesome-design
terminalizer,faressoft,13900, https://github.com/faressoft/terminalizer
source-han-sans,adobe-fonts,12400, https://github.com/adobe-fonts/source-han-sans
awesome-stock-resources,neutraltone,11500, https://github.com/neutraltone/awesome-stock-resources
LxgwWenKai,lxgw,11400, https://github.com/lxgw/LxgwWenKai
smiley-sans,atelier-anchor,10800, https://github.com/atelier-anchor/smiley-sans
cdnjs,cdnjs,9800, https://github.com/cdnjs/cdnjs
dompdf,dompdf,9600, https://github.com/dompdf/dompdf
JetBrainsMono,JetBrains,8800, https://github.com/JetBrains/JetBrainsMono
plex,IBM,8400, https://github.com/IBM/plex
mactype,snowie2000,8400, https://github.com/snowie2000/mactype
Sarasa-Gothic,be5invis,8300, https://github.com/be5invis/Sarasa-Gothic
devicon,devicons,7300, https://github.com/devicons/devicon
