Repository Name,Repository Username,Stars Received,Repository URL
gitignore,github,147000, https://github.com/github/gitignore
devops-exercises,bregman-arie,42100, https://github.com/bregman-arie/devops-exercises
gogs,gogs,41900, https://github.com/gogs/gogs
bat,sharkdp,40600, https://github.com/sharkdp/bat
github-cheat-sheet,tiimgreen,40500, https://github.com/tiimgreen/github-cheat-sheet
gitea,go-gitea,35800, https://github.com/go-gitea/gitea
lazygit,jesseduffield,33900, https://github.com/jesseduffield/lazygit
cli,cli,31900, https://github.com/cli/cli
husky,typicode,29200, https://github.com/typicode/husky
hub,github,22400, https://github.com/github/hub
logseq,logseq,21500, https://github.com/logseq/logseq
tips,git-tips,20800, https://github.com/git-tips/tips
wiki,requarks,20600, https://github.com/requarks/wiki
delta,dandavison,17000, https://github.com/dandavison/delta
desktop,desktop,17000, https://github.com/desktop/desktop
decap-cms,decaporg,16400, https://github.com/decaporg/decap-cms
diff-so-fancy,so-fancy,16400, https://github.com/so-fancy/diff-so-fancy
git-extras,tj,16200, https://github.com/tj/git-extras
cz-cli,commitizen,15000, https://github.com/commitizen/cz-cli
git-tips,521xueweihan,14900, https://github.com/521xueweihan/git-tips
