Repository Name,Repository Username,Stars Received,Repository URL
magic,miniMAC,8000, https://github.com/miniMAC/magic
blendid,vigetlabs,5000, https://github.com/vigetlabs/blendid
fetool,nieweidong,4400, https://github.com/nieweidong/fetool
assemble,assemble,4200, https://github.com/assemble/assemble
generator-webapp,yeoman,3800, https://github.com/yeoman/generator-webapp
WeFlow,Tencent,3200, https://github.com/Tencent/WeFlow
extension-boilerplate,EmailThis,3200, https://github.com/EmailThis/extension-boilerplate
Vorlonjs,MicrosoftDX,2900, https://github.com/MicrosoftDX/Vorlonjs
100-days-of-code-frontend,nas5w,2600, https://github.com/nas5w/100-days-of-code-frontend
tmt-workflow,Tencent,2200, https://github.com/Tencent/tmt-workflow
maid,egoist,2000, https://github.com/egoist/maid
phphub5,summerblue,2000, https://github.com/summerblue/phphub5
sketch-threejs,ykob,2000, https://github.com/ykob/sketch-threejs
NG6-starter,PatrickJS,1900, https://github.com/PatrickJS/NG6-starter
Front-end-tutorial,nicejade,1700, https://github.com/nicejade/Front-end-tutorial
wordpressify,luangjokaj,1500, https://github.com/luangjokaj/wordpressify
angular-material-dashboard,flatlogic,1300, https://github.com/flatlogic/angular-material-dashboard
generator-fountain-webapp,FountainJS,973, https://github.com/FountainJS/generator-fountain-webapp
nice-front-end-tutorial,nicejade,885, https://github.com/nicejade/nice-front-end-tutorial
gulp-boilerplate,cferdinandi,853, https://github.com/cferdinandi/gulp-boilerplate
