Repository Name,Repository Username,Stars Received,Repository URL
brew,Homebrew,35600, https://github.com/Homebrew/brew
hub,github,22400, https://github.com/github/hub
homebrew-cask,Homebrew,19900, https://github.com/Homebrew/homebrew-cask
homebrew-core,Homebrew,12300, https://github.com/Homebrew/homebrew-core
goreleaser,goreleaser,11400, https://github.com/goreleaser/goreleaser
Mos,Caldis,11100, https://github.com/Caldis/Mos
mas,mas-cli,9700, https://github.com/mas-cli/mas
Monocraft,IdreesInc,6500, https://github.com/IdreesInc/Monocraft
devilutionX,diasurgical,6300, https://github.com/diasurgical/devilutionX
mac-dev-playbook,geerlingguy,5200, https://github.com/geerlingguy/mac-dev-playbook
homebrew-bundle,Homebrew,4400, https://github.com/Homebrew/homebrew-bundle
Luma3DS,LumaTeam,4200, https://github.com/LumaTeam/Luma3DS
mockserver,mock-server,4100, https://github.com/mock-server/mockserver
dotfiles,paulirish,4100, https://github.com/paulirish/dotfiles
whalebrew,whalebrew,3700, https://github.com/whalebrew/whalebrew
cointop,cointop-sh,3600, https://github.com/cointop-sh/cointop
brew,Linuxbrew,2600, https://github.com/Linuxbrew/brew
phpmon,nicoverbruggen,2600, https://github.com/nicoverbruggen/phpmon
homebrew-cask-fonts,Homebrew,2600, https://github.com/Homebrew/homebrew-cask-fonts
dotfiles,nicknisi,2500, https://github.com/nicknisi/dotfiles
