Repository Name,Repository Username,Stars Received,Repository URL
fastapi,tiangolo,56500, https://github.com/tiangolo/fastapi
prettier,prettier,45300, https://github.com/prettier/prettier
chinese-poetry,chinese-poetry,39300, https://github.com/chinese-poetry/chinese-poetry
30-Days-Of-JavaScript,Asabeneh,34900, https://github.com/Asabeneh/30-Days-Of-JavaScript
json,nlohmann,34400, https://github.com/nlohmann/json
sheetjs,SheetJS,32600, https://github.com/SheetJS/sheetjs
httpie,httpie,27200, https://github.com/httpie/httpie
hutool,dromara,25900, https://github.com/dromara/hutool
fastjson,alibaba,25300, https://github.com/alibaba/fastjson
jsoncrack.com,AykutSarac,23500, https://github.com/AykutSarac/jsoncrack.com
editor.js,codex-team,22300, https://github.com/codex-team/editor.js
SwiftyJSON,SwiftyJSON,21900, https://github.com/SwiftyJSON/SwiftyJSON
normalizr,paularmstrong,21000, https://github.com/paularmstrong/normalizr
cli,urfave,20000, https://github.com/urfave/cli
lowdb,typicode,19300, https://github.com/typicode/lowdb
simdjson,simdjson,16800, https://github.com/simdjson/simdjson
fx,antonmedv,16200, https://github.com/antonmedv/fx
Administrative-divisions-of-China,modood,15000, https://github.com/modood/Administrative-divisions-of-China
amis,baidu,13600, https://github.com/baidu/amis
react-jsonschema-form,rjsf-team,12500, https://github.com/rjsf-team/react-jsonschema-form
