Repository Name,Repository Username,Stars Received,Repository URL
jekyll,jekyll,46400, https://github.com/jekyll/jekyll
tabler,tabler,33700, https://github.com/tabler/tabler
minimal-mistakes,mmistakes,10900, https://github.com/mmistakes/minimal-mistakes
octicons,primer,7700, https://github.com/primer/octicons
just-the-docs,just-the-docs,5800, https://github.com/just-the-docs/just-the-docs
al-folio,alshedivat,5400, https://github.com/alshedivat/al-folio
mqtt.org,mqtt,5000, https://github.com/mqtt/mqtt.org
beautiful-jekyll,daattali,4600, https://github.com/daattali/beautiful-jekyll
home-assistant.io,home-assistant,3600, https://github.com/home-assistant/home-assistant.io
fastpages,fastai,3500, https://github.com/fastai/fastpages
hyde,poole,3500, https://github.com/poole/hyde
choosealicense.com,github,3200, https://github.com/github/choosealicense.com
lanyon,poole,3100, https://github.com/poole/lanyon
minima,jekyll,2900, https://github.com/jekyll/minima
poole,poole,2800, https://github.com/poole/poole
jekyll-TeXt-theme,kitian616,2700, https://github.com/kitian616/jekyll-TeXt-theme
jekyll-admin,jekyll,2700, https://github.com/jekyll/jekyll-admin
online-cv,sharu725,2400, https://github.com/sharu725/online-cv
indigo,sergiokopplin,2400, https://github.com/sergiokopplin/indigo
staticman,eduardoboucas,2300, https://github.com/eduardoboucas/staticman
