Repository Name,Repository Username,Stars Received,Repository URL
marktext,marktext,39300, https://github.com/marktext/marktext
PlotNeuralNet,HarisIqbal88,19200, https://github.com/HarisIqbal88/PlotNeuralNet
Awesome-CV,posquit0,18900, https://github.com/posquit0/Awesome-CV
KaTeX,KaTeX,16400, https://github.com/KaTeX/KaTeX
milewski-ctfp-pdf,hmemcpy,10100, https://github.com/hmemcpy/milewski-ctfp-pdf
MathJax,mathjax,9300, https://github.com/mathjax/MathJax
resume,billryan,7100, https://github.com/billryan/resume
SciencePlots,garrettj403,5100, https://github.com/garrettj403/SciencePlots
pandoc-latex-template,Wandmalfarbe,5000, https://github.com/Wandmalfarbe/pandoc-latex-template
vimtex,lervag,4500, https://github.com/lervag/vimtex
thuthesis,tuna,3900, https://github.com/tuna/thuthesis
arxiv-latex-cleaner,google-research,3800, https://github.com/google-research/arxiv-latex-cleaner
resume,sb2nov,3700, https://github.com/sb2nov/resume
zotero-better-bibtex,retorquere,3700, https://github.com/retorquere/zotero-better-bibtex
typora-latex-theme,Keldos-Li,3500, https://github.com/Keldos-Li/typora-latex-theme
paper-tips-and-tricks,Wookai,3400, https://github.com/Wookai/paper-tips-and-tricks
LaTeX-OCR,lukas-blecher,3400, https://github.com/lukas-blecher/LaTeX-OCR
bookdown,rstudio,3300, https://github.com/rstudio/bookdown
Begin-Latex-in-minutes,luong-komorebi,3200, https://github.com/luong-komorebi/Begin-Latex-in-minutes
jabref,JabRef,3000, https://github.com/JabRef/jabref
