Repository Name,Repository Username,Stars Received,Repository URL
laravel,laravel,73100, https://github.com/laravel/laravel
framework,laravel,29300, https://github.com/laravel/framework
monica,monicahq,18900, https://github.com/monicahq/monica
laravel-debugbar,barryvdh,15100, https://github.com/barryvdh/laravel-debugbar
koel,koel,14600, https://github.com/koel/koel
flarum,flarum,13900, https://github.com/flarum/flarum
image,Intervention,13200, https://github.com/Intervention/image
Cachet,CachetHQ,13100, https://github.com/CachetHQ/Cachet
laravel-ide-helper,barryvdh,13000, https://github.com/barryvdh/laravel-ide-helper
sage,roots,12100, https://github.com/roots/sage
awesome-laravel,chiraggude,11700, https://github.com/chiraggude/awesome-laravel
Laravel-Excel,SpartnerNL,11400, https://github.com/SpartnerNL/Laravel-Excel
voyager,the-control-group,11400, https://github.com/the-control-group/voyager
BookStack,BookStackApp,11300, https://github.com/BookStackApp/BookStack
laravel-permission,spatie,11100, https://github.com/spatie/laravel-permission
october,octobercms,10900, https://github.com/octobercms/october
jwt-auth,tymondesigns,10800, https://github.com/tymondesigns/jwt-auth
laravel-best-practices,alexeymezenin,9400, https://github.com/alexeymezenin/laravel-best-practices
avbook,guyueyingmu,8900, https://github.com/guyueyingmu/avbook
lumen,laravel,7600, https://github.com/laravel/lumen
