Repository Name,Repository Username,Stars Received,Repository URL
react,facebook,206000, https://github.com/facebook/react
imgui,ocornut,46600, https://github.com/ocornut/imgui
curl,curl,29200, https://github.com/curl/curl
ccxt,ccxt,27800, https://github.com/ccxt/ccxt
ChatGPT,acheong08,23400, https://github.com/acheong08/ChatGPT
mojs,mojs,18000, https://github.com/mojs/mojs
framework7,framework7io,17200, https://github.com/framework7io/framework7
cosmos,OpenGenus,13300, https://github.com/OpenGenus/cosmos
badger,dgraph-io,12100, https://github.com/dgraph-io/badger
animated-tab-bar,Ramotion,11100, https://github.com/Ramotion/animated-tab-bar
bloc,felangel,10300, https://github.com/felangel/bloc
FSCalendar,WenchaoD,10300, https://github.com/WenchaoD/FSCalendar
folding-cell,Ramotion,10200, https://github.com/Ramotion/folding-cell
cdnjs,cdnjs,9800, https://github.com/cdnjs/cdnjs
nextui,nextui-org,9700, https://github.com/nextui-org/nextui
thrift,apache,9600, https://github.com/apache/thrift
libgit2,libgit2,9000, https://github.com/libgit2/libgit2
BottomBar,roughike,8400, https://github.com/roughike/BottomBar
FreeRDP,FreeRDP,8100, https://github.com/FreeRDP/FreeRDP
Telethon,LonamiWebs,7600, https://github.com/LonamiWebs/Telethon
