Repository Name,Repository Username,Stars Received,Repository URL
the-art-of-command-line,jlevy,135000, https://github.com/jlevy/the-art-of-command-line
the-book-of-secret-knowledge,trimstray,94800, https://github.com/trimstray/the-book-of-secret-knowledge
node,nodejs,94500, https://github.com/nodejs/node
atom,atom,59300, https://github.com/atom/atom
Ventoy,ventoy,47700, https://github.com/ventoy/Ventoy
alacritty,alacritty,46000, https://github.com/alacritty/alacritty
devops-exercises,bregman-arie,42100, https://github.com/bregman-arie/devops-exercises
hyper,vercel,40700, https://github.com/vercel/hyper
rustdesk,rustdesk,40400, https://github.com/rustdesk/rustdesk
mkcert,FiloSottile,40300, https://github.com/FiloSottile/mkcert
sherlock,sherlock-project,40200, https://github.com/sherlock-project/sherlock
marktext,marktext,39300, https://github.com/marktext/marktext
PowerShell,PowerShell,37800, https://github.com/PowerShell/PowerShell
edex-ui,GitSquared,36800, https://github.com/GitSquared/edex-ui
Motrix,agalwood,36600, https://github.com/agalwood/Motrix
nativefier,nativefier,33300, https://github.com/nativefier/nativefier
ChatGPT,lencx,30700, https://github.com/lencx/ChatGPT
hackingtool,Z4nzu,29800, https://github.com/Z4nzu/hackingtool
linux-insides,0xAX,28000, https://github.com/0xAX/linux-insides
nylas-mail,nylas,24700, https://github.com/nylas/nylas-mail
