Repository Name,Repository Username,Stars Received,Repository URL
PythonRobotics,AtsushiSakai,18000, https://github.com/AtsushiSakai/PythonRobotics
formatjs,formatjs,13700, https://github.com/formatjs/formatjs
erpnext,frappe,13200, https://github.com/frappe/erpnext
SwiftGen,SwiftGen,8500, https://github.com/SwiftGen/SwiftGen
Humanizer,Humanizr,7600, https://github.com/Humanizr/Humanizer
cartographer,cartographer-project,6400, https://github.com/cartographer-project/cartographer
js-lingui,lingui,3600, https://github.com/lingui/js-lingui
weblate,WeblateOrg,3500, https://github.com/WeblateOrg/weblate
laravel-auth,jeremykenedy,2800, https://github.com/jeremykenedy/laravel-auth
hybrids,hybridsjs,2800, https://github.com/hybridsjs/hybrids
relative-time-element,github,2700, https://github.com/github/relative-time-element
intl,symfony,2500, https://github.com/symfony/intl
next-translate,aralroca,2100, https://github.com/aralroca/next-translate
rtabmap,introlab,2100, https://github.com/introlab/rtabmap
ever-traduora,ever-co,1800, https://github.com/ever-co/ever-traduora
typesafe-i18n,ivanhofer,1500, https://github.com/ivanhofer/typesafe-i18n
iOSLocalizationEditor,igorkulman,1400, https://github.com/igorkulman/iOSLocalizationEditor
BartyCrouch,FlineDev,1300, https://github.com/FlineDev/BartyCrouch
laravel-lang,overtrue,1300, https://github.com/overtrue/laravel-lang
CppRobotics,onlytailei,1300, https://github.com/onlytailei/CppRobotics
