Repository Name,Repository Username,Stars Received,Repository URL
neovim,neovim,64599, https://github.com/neovim/neovim
lede,coolsnowwolf,25500, https://github.com/coolsnowwolf/lede
SpaceVim,SpaceVim,19800, https://github.com/SpaceVim/SpaceVim
cocos2d-x,cocos2d,17000, https://github.com/cocos2d/cocos2d-x
NvChad,NvChad,15900, https://github.com/NvChad/NvChad
LunarVim,LunarVim,13900, https://github.com/LunarVim/LunarVim
ip2region,lionsoul2014,13100, https://github.com/lionsoul2014/ip2region
annoy,spotify,11000, https://github.com/spotify/annoy
hammerspoon,Hammerspoon,10300, https://github.com/Hammerspoon/hammerspoon
TabNine,codota,9900, https://github.com/codota/TabNine
telescope.nvim,nvim-telescope,9600, https://github.com/nvim-telescope/telescope.nvim
awesomo,lk-geimfari,8900, https://github.com/lk-geimfari/awesomo
AstroNvim,AstroNvim,8700, https://github.com/AstroNvim/AstroNvim
minetest,minetest,8600, https://github.com/minetest/minetest
xLua,Tencent,8300, https://github.com/Tencent/xLua
nmap,nmap,7600, https://github.com/nmap/nmap
nodemcu-firmware,nodemcu,7300, https://github.com/nodemcu/nodemcu-firmware
xmake,xmake-io,6900, https://github.com/xmake-io/xmake
packer.nvim,wbthomason,6100, https://github.com/wbthomason/packer.nvim
conky,brndnmtthws,6100, https://github.com/brndnmtthws/conky
