Repository Name,Repository Username,Stars Received,Repository URL
tensorflow,tensorflow,173000, https://github.com/tensorflow/tensorflow
transformers,huggingface,91600, https://github.com/huggingface/transformers
pytorch,pytorch,65000, https://github.com/pytorch/pytorch
keras,keras-team,57800, https://github.com/keras-team/keras
cs-video-courses,Developer-Y,54400, https://github.com/Developer-Y/cs-video-courses
scikit-learn,scikit-learn,53700, https://github.com/scikit-learn/scikit-learn
tesseract,tesseract-ocr,50200, https://github.com/tesseract-ocr/tesseract
face_recognition,ageitgey,47800, https://github.com/ageitgey/face_recognition
ML-For-Beginners,microsoft,47400, https://github.com/microsoft/ML-For-Beginners
awesome-scalability,binhnguyennus,44500, https://github.com/binhnguyennus/awesome-scalability
faceswap,deepfakes,44300, https://github.com/deepfakes/faceswap
TensorFlow-Examples,aymericdamien,42700, https://github.com/aymericdamien/TensorFlow-Examples
julia,JuliaLang,42000, https://github.com/JuliaLang/julia
d2l-zh,d2l-ai,41800, https://github.com/d2l-ai/d2l-zh
100-Days-Of-ML-Code,Avik-Jain,40600, https://github.com/Avik-Jain/100-Days-Of-ML-Code
DeepFaceLab,iperov,38500, https://github.com/iperov/DeepFaceLab
yolov5,ultralytics,37200, https://github.com/ultralytics/yolov5
caffe,BVLC,33200, https://github.com/BVLC/caffe
Made-With-ML,GokuMohandas,32900, https://github.com/GokuMohandas/Made-With-ML
google-research,google-research,28300, https://github.com/google-research/google-research
