Repository Name,Repository Username,Stars Received,Repository URL
Craft,fogleman,9700, https://github.com/fogleman/Craft
crouton,dnschneid,8300, https://github.com/dnschneid/crouton
Paper,PaperMC,7300, https://github.com/PaperMC/Paper
Monocraft,IdreesInc,6500, https://github.com/IdreesInc/Monocraft
MinecraftForge,MinecraftForge,6100, https://github.com/MinecraftForge/MinecraftForge
tiler,nuno-faria,5600, https://github.com/nuno-faria/tiler
baritone,cabaletta,5500, https://github.com/cabaletta/baritone
HMCL,huanghongxun,5100, https://github.com/huanghongxun/HMCL
cuberite,cuberite,4500, https://github.com/cuberite/cuberite
PojavLauncher,PojavLauncherTeam,4000, https://github.com/PojavLauncherTeam/PojavLauncher
sodium-fabric,CaffeineMC,3900, https://github.com/CaffeineMC/sodium-fabric
Launcher,MultiMC,3900, https://github.com/MultiMC/Launcher
Geyser,GeyserMC,3800, https://github.com/GeyserMC/Geyser
mineflayer,PrismarineJS,3700, https://github.com/PrismarineJS/mineflayer
PrismLauncher,PrismLauncher,3200, https://github.com/PrismLauncher/PrismLauncher
PocketMine-MP,pmmp,3000, https://github.com/pmmp/PocketMine-MP
WorldEdit,EngineHub,2700, https://github.com/EngineHub/WorldEdit
Iris,IrisShaders,2600, https://github.com/IrisShaders/Iris
feather,feather-rs,2300, https://github.com/feather-rs/feather
mcaselector,Querz,2200, https://github.com/Querz/mcaselector
