Repository Name,Repository Username,Stars Received,Repository URL
monero,monero-project,7800, https://github.com/monero-project/monero
xmrig,xmrig,7500, https://github.com/xmrig/xmrig
awesome-blockchain,yjjnls,2800, https://github.com/yjjnls/awesome-blockchain
coin-hive,cazala,1900, https://github.com/cazala/coin-hive
MultiPoolMiner,MultiPoolMiner,857, https://github.com/MultiPoolMiner/MultiPoolMiner
ethereum_nvidia_miner,Cyclenerd,834, https://github.com/Cyclenerd/ethereum_nvidia_miner
darkfi,darkrenaissance,827, https://github.com/darkrenaissance/darkfi
p2pool,SChernykh,711, https://github.com/SChernykh/p2pool
SilentCryptoMiner,UnamSanctam,659, https://github.com/UnamSanctam/SilentCryptoMiner
xmrig-nvidia,xmrig,653, https://github.com/xmrig/xmrig-nvidia
miningcore,oliverw,634, https://github.com/oliverw/miningcore
cpuminer-multi,lucasjones,607, https://github.com/lucasjones/cpuminer-multi
haveno,haveno-dex,599, https://github.com/haveno-dex/haveno
nanominer,nanopool,584, https://github.com/nanopool/nanominer
wagyu,AleoHQ,557, https://github.com/AleoHQ/wagyu
deepMiner,deepwn,535, https://github.com/deepwn/deepMiner
xmrig-proxy,xmrig,525, https://github.com/xmrig/xmrig-proxy
xmr-btc-swap,comit-network,511, https://github.com/comit-network/xmr-btc-swap
xmr-miner,bradoyler,494, https://github.com/bradoyler/xmr-miner
SilentXMRMiner,UnamSanctam,485, https://github.com/UnamSanctam/SilentXMRMiner
