Repository Name,Repository Username,Stars Received,Repository URL
node-elm,bailicangdu,11900, https://github.com/bailicangdu/node-elm
node-express-boilerplate,hagopj13,5300, https://github.com/hagopj13/node-express-boilerplate
bulletproof-nodejs,santiq,5100, https://github.com/santiq/bulletproof-nodejs
node-express-mongoose-demo,madhums,5100, https://github.com/madhums/node-express-mongoose-demo
builderbook,async-labs,3500, https://github.com/async-labs/builderbook
saas,async-labs,3400, https://github.com/async-labs/saas
express-mongoose-es6-rest-api,kunalkapadia,2900, https://github.com/kunalkapadia/express-mongoose-es6-rest-api
notion-clone,konstantinmuenster,2600, https://github.com/konstantinmuenster/notion-clone
express-es6-rest-api,developit,2400, https://github.com/developit/express-es6-rest-api
thal,emadehsan,2400, https://github.com/emadehsan/thal
lad,ladjs,2200, https://github.com/ladjs/lad
nodejs-backend-architecture-typescript,janishar,2200, https://github.com/janishar/nodejs-backend-architecture-typescript
mongodb-memory-server,nodkz,2200, https://github.com/nodkz/mongodb-memory-server
express-rest-boilerplate,danielfsousa,2100, https://github.com/danielfsousa/express-rest-boilerplate
typescript-express-starter,ljlm0402,2000, https://github.com/ljlm0402/typescript-express-starter
typegoose,typegoose,2000, https://github.com/typegoose/typegoose
React-Express-Blog-Demo,Nealyang,1900, https://github.com/Nealyang/React-Express-Blog-Demo
rest,diegohaz,1700, https://github.com/diegohaz/rest
node-react-ecommerce,basir,1500, https://github.com/basir/node-react-ecommerce
chat.io,OmarElgabry,1400, https://github.com/OmarElgabry/chat.io
