Repository Name,Repository Username,Stars Received,Repository URL
NativeScript,NativeScript,22400, https://github.com/NativeScript/NativeScript
nativescript-vue,nativescript-vue,5100, https://github.com/nativescript-vue/nativescript-vue
LuaViewSDK,alibaba,3700, https://github.com/alibaba/LuaViewSDK
ngx-formly,ngx-formly,2500, https://github.com/ngx-formly/ngx-formly
angular-seed-advanced,NathanWalker,2300, https://github.com/NathanWalker/angular-seed-advanced
MLN,momotech,1600, https://github.com/momotech/MLN
nativescript-angular,NativeScript,1200, https://github.com/NativeScript/nativescript-angular
nativescript-cli,NativeScript,1000, https://github.com/NativeScript/nativescript-cli
nativescript-plugin-firebase,EddyVerbruggen,1000, https://github.com/EddyVerbruggen/nativescript-plugin-firebase
android,NativeScript,479, https://github.com/NativeScript/android
docs-v7,NativeScript,448, https://github.com/NativeScript/docs-v7
open-native,OpenNative,350, https://github.com/OpenNative/open-native
xplat,nstudio,349, https://github.com/nstudio/xplat
godot-go,ShadowApex,341, https://github.com/ShadowApex/godot-go
groceries-ns-vue,tralves,300, https://github.com/tralves/groceries-ns-vue
ios-jsc,NativeScript,294, https://github.com/NativeScript/ios-jsc
nativescript-barcodescanner,EddyVerbruggen,290, https://github.com/EddyVerbruggen/nativescript-barcodescanner
nativescript-cardview,nstudio,282, https://github.com/nstudio/nativescript-cardview
react-nativescript,shirakaba,268, https://github.com/shirakaba/react-nativescript
angular-native-seed,TeamMaestro,267, https://github.com/TeamMaestro/angular-native-seed
