Repository Name,Repository Username,Stars Received,Repository URL
transformers,huggingface,91600, https://github.com/huggingface/transformers
ailearning,apachecn,35100, https://github.com/apachecn/ailearning
bert,google-research,33800, https://github.com/google-research/bert
HanLP,hankcs,28600, https://github.com/hankcs/HanLP
spaCy,explosion,25800, https://github.com/explosion/spaCy
rasa,RasaHQ,15900, https://github.com/RasaHQ/rasa
datasets,huggingface,15800, https://github.com/huggingface/datasets
lectures,oxford-cs-deepnlp-2017,15500, https://github.com/oxford-cs-deepnlp-2017/lectures
awesome-nlp,keon,14500, https://github.com/keon/awesome-nlp
gensim,RaRe-Technologies,14200, https://github.com/RaRe-Technologies/gensim
Awesome-pytorch-list,bharathgs,13900, https://github.com/bharathgs/Awesome-pytorch-list
ML-NLP,NLP-LOVE,13500, https://github.com/NLP-LOVE/ML-NLP
Virgilio,virgili0,13400, https://github.com/virgili0/Virgilio
best-of-ml-python,ml-tooling,13400, https://github.com/ml-tooling/best-of-ml-python
flair,flairNLP,12700, https://github.com/flairNLP/flair
nlp-tutorial,graykode,12400, https://github.com/graykode/nlp-tutorial
500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,ashishpatel26,12100, https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code
nltk,nltk,11800, https://github.com/nltk/nltk
unilm,microsoft,11700, https://github.com/microsoft/unilm
PaddleHub,PaddlePaddle,11500, https://github.com/PaddlePaddle/PaddleHub
