Repository Name,Repository Username,Stars Received,Repository URL
dbeaver,dbeaver,31500, https://github.com/dbeaver/dbeaver
mongo,mongodb,23500, https://github.com/mongodb/mongo
surrealdb,surrealdb,19400, https://github.com/surrealdb/surrealdb
rxdb,pubkey,19100, https://github.com/pubkey/rxdb
arangodb,arangodb,12900, https://github.com/arangodb/arangodb
codis,CodisLabs,12800, https://github.com/CodisLabs/codis
neo4j,neo4j,11300, https://github.com/neo4j/neo4j
node-mongodb-native,mongodb,9700, https://github.com/mongodb/node-mongodb-native
scylladb,scylladb,9700, https://github.com/scylladb/scylladb
dejavu,appbaseio,8100, https://github.com/appbaseio/dejavu
LiteDB,mbdavid,7400, https://github.com/mbdavid/LiteDB
awesome-system-design,madd86,6700, https://github.com/madd86/awesome-system-design
zeppelin,apache,6000, https://github.com/apache/zeppelin
school-of-sre,linkedin,6000, https://github.com/linkedin/school-of-sre
docker-images,oracle,6000, https://github.com/oracle/docker-images
tinydb,msiemens,5800, https://github.com/msiemens/tinydb
pika,OpenAtomFoundation,5000, https://github.com/OpenAtomFoundation/pika
orientdb,orientechnologies,4600, https://github.com/orientechnologies/orientdb
awesome-elasticsearch,dzharii,4600, https://github.com/dzharii/awesome-elasticsearch
octosql,cube2222,4400, https://github.com/cube2222/octosql
