Repository Name,Repository Username,Stars Received,Repository URL
freeCodeCamp,freeCodeCamp,364000, https://github.com/freeCodeCamp/freeCodeCamp
30-seconds-of-code,30-seconds,110000, https://github.com/30-seconds/30-seconds-of-code
electron,electron,107000, https://github.com/electron/electron
axios,axios,99600, https://github.com/axios/axios
node,nodejs,94500, https://github.com/nodejs/node
nodebestpractices,goldbergyoni,88500, https://github.com/goldbergyoni/nodebestpractices
nvm,nvm-sh,66100, https://github.com/nvm-sh/nvm
express,expressjs,60500, https://github.com/expressjs/express
socket.io,socketio,58000, https://github.com/socketio/socket.io
nest,nestjs,55800, https://github.com/nestjs/nest
33-js-concepts,leonardomso,55700, https://github.com/leonardomso/33-js-concepts
strapi,strapi,53000, https://github.com/strapi/strapi
awesome-nodejs,sindresorhus,50600, https://github.com/sindresorhus/awesome-nodejs
meteor,meteor,43400, https://github.com/meteor/meteor
Ghost,TryGhost,42900, https://github.com/TryGhost/Ghost
bun,oven-sh,40500, https://github.com/oven-sh/bun
nw.js,nwjs,39600, https://github.com/nwjs/nw.js
pm2,Unitech,38900, https://github.com/Unitech/pm2
zx,google,37000, https://github.com/google/zx
edex-ui,GitSquared,36800, https://github.com/GitSquared/edex-ui
