Repository Name,Repository Username,Stars Received,Repository URL
awesome-ios,vsouza,42500, https://github.com/vsouza/awesome-ios
open-source-mac-os-apps,serhii-londar,34900, https://github.com/serhii-londar/open-source-mac-os-apps
open-source-ios-apps,dkhamsing,34300, https://github.com/dkhamsing/open-source-ios-apps
SDWebImage,SDWebImage,24600, https://github.com/SDWebImage/SDWebImage
NativeScript,NativeScript,22400, https://github.com/NativeScript/NativeScript
IQKeyboardManager,hackiftekhar,16000, https://github.com/hackiftekhar/IQKeyboardManager
realm-swift,realm,15800, https://github.com/realm/realm-swift
OpenEmu,OpenEmu,14800, https://github.com/OpenEmu/OpenEmu
CocoaPods,CocoaPods,14100, https://github.com/CocoaPods/CocoaPods
infer,facebook,13900, https://github.com/facebook/infer
MJRefresh,CoderMJLee,13700, https://github.com/CoderMJLee/MJRefresh
BackgroundMusic,kyleneideck,13400, https://github.com/kyleneideck/BackgroundMusic
CocoaLumberjack,CocoaLumberjack,12900, https://github.com/CocoaLumberjack/CocoaLumberjack
IGListKit,Instagram,12600, https://github.com/Instagram/IGListKit
SVProgressHUD,SVProgressHUD,12400, https://github.com/SVProgressHUD/SVProgressHUD
Halfrost-Field,halfrost,12000, https://github.com/halfrost/Halfrost-Field
Mantle,Mantle,11300, https://github.com/Mantle/Mantle
TimLiu-iOS,Tim9Liu9,11300, https://github.com/Tim9Liu9/TimLiu-iOS
ios-good-practices,futurice,10700, https://github.com/futurice/ios-good-practices
FSCalendar,WenchaoD,10300, https://github.com/WenchaoD/FSCalendar
