Repository Name,Repository Username,Stars Received,Repository URL
Command-line-text-processing,learnbyexample,10100, https://github.com/learnbyexample/Command-line-text-processing
theos,theos,4000, https://github.com/theos/theos
kaitai_struct,kaitai-io,3400, https://github.com/kaitai-io/kaitai_struct
rsnapshot,rsnapshot,2800, https://github.com/rsnapshot/rsnapshot
imapsync,imapsync,2800, https://github.com/imapsync/imapsync
weechat,weechat,2600, https://github.com/weechat/weechat
avro,apache,2500, https://github.com/apache/avro
postgresqltuner,jfcoz,2400, https://github.com/jfcoz/postgresqltuner
mojo,mojolicious,2400, https://github.com/mojolicious/mojo
activemq,apache,2100, https://github.com/apache/activemq
KomodoEdit,Komodo,2100, https://github.com/Komodo/KomodoEdit
exiftool,exiftool,2000, https://github.com/exiftool/exiftool
munin,munin-monitoring,1800, https://github.com/munin-monitoring/munin
arl,kaxap,1800, https://github.com/kaxap/arl
Mojo-Webqq,hexsum,1700, https://github.com/hexsum/Mojo-Webqq
shc,neurobin,1600, https://github.com/neurobin/shc
perl5,Perl,1600, https://github.com/Perl/perl5
nipe,htrgouvea,1600, https://github.com/htrgouvea/nipe
ack2,beyondgrep,1500, https://github.com/beyondgrep/ack2
LANraragi,Difegue,1300, https://github.com/Difegue/LANraragi
