Repository Name,Repository Username,Stars Received,Repository URL
phaser,photonstorm,33900, https://github.com/photonstorm/phaser
OpenSC2K,nicholas-ochoa,4800, https://github.com/nicholas-ochoa/OpenSC2K
Machine-Learning-Flappy-Bird,ssusnic,1800, https://github.com/ssusnic/Machine-Learning-Flappy-Bird
phaser-examples,photonstorm,1700, https://github.com/photonstorm/phaser-examples
games,channingbreeze,1600, https://github.com/channingbreeze/games
phaser-es6-webpack,lean,1300, https://github.com/lean/phaser-es6-webpack
phaser-ce,photonstorm,1300, https://github.com/photonstorm/phaser-ce
phaser3-rex-notes,rexrainbow,1000, https://github.com/rexrainbow/phaser3-rex-notes
phaser3-typescript,digitsensitive,891, https://github.com/digitsensitive/phaser3-typescript
PrinceJS,oklemenz,872, https://github.com/oklemenz/PrinceJS
enable3d,enable3d,757, https://github.com/enable3d/enable3d
SkyOffice,kevinshen56714,710, https://github.com/kevinshen56714/SkyOffice
DragonBonesJS,DragonBones,697, https://github.com/DragonBones/DragonBonesJS
free-tex-packer,odrick,656, https://github.com/odrick/free-tex-packer
webpack-starter-basic,lifenautjoe,577, https://github.com/lifenautjoe/webpack-starter-basic
phaser-catch-the-cat,ganlvtech,506, https://github.com/ganlvtech/phaser-catch-the-cat
iogrid,jondubois,474, https://github.com/jondubois/iogrid
phaser-ce-npm-webpack-typescript-starter-project,rroylance,420, https://github.com/rroylance/phaser-ce-npm-webpack-typescript-starter-project
phaser3-docs,photonstorm,411, https://github.com/photonstorm/phaser3-docs
doudizhu,mailgyc,402, https://github.com/mailgyc/doudizhu
