Repository Name,Repository Username,Stars Received,Repository URL
flameshot,flameshot-org,20600, https://github.com/flameshot-org/flameshot
cool-retro-term,Swordfish90,18500, https://github.com/Swordfish90/cool-retro-term
matplotlib,matplotlib,17200, https://github.com/matplotlib/matplotlib
openage,SFTtech,11700, https://github.com/SFTtech/openage
PySimpleGUI,PySimpleGUI,11500, https://github.com/PySimpleGUI/PySimpleGUI
qt,therecipe,9700, https://github.com/therecipe/qt
tiled,mapeditor,9500, https://github.com/mapeditor/tiled
MuseScore,musescore,9400, https://github.com/musescore/MuseScore
urh,jopohl,9300, https://github.com/jopohl/urh
QtScrcpy,barry-ran,9200, https://github.com/barry-ran/QtScrcpy
qutebrowser,qutebrowser,8600, https://github.com/qutebrowser/qutebrowser
nodegui,nodegui,8400, https://github.com/nodegui/nodegui
spyder,spyder-ide,7500, https://github.com/spyder-ide/spyder
liteide,visualfc,7200, https://github.com/visualfc/liteide
olive,olive-editor,6900, https://github.com/olive-editor/olive
albert,albertlauncher,6700, https://github.com/albertlauncher/albert
react-nodegui,nodegui,6100, https://github.com/nodegui/react-nodegui
NotepadNext,dail8859,5900, https://github.com/dail8859/NotepadNext
moonlight-qt,moonlight-stream,5200, https://github.com/moonlight-stream/moonlight-qt
qTox,qTox,4500, https://github.com/qTox/qTox
