Repository Name,Repository Username,Stars Received,Repository URL
hoppscotch,hoppscotch,50800, https://github.com/hoppscotch/hoppscotch
nocodb,nocodb,35300, https://github.com/nocodb/nocodb
graphql-engine,hasura,29500, https://github.com/hasura/graphql-engine
insomnia,Kong,27500, https://github.com/Kong/insomnia
httpie,httpie,27200, https://github.com/httpie/httpie
fiber,gofiber,25700, https://github.com/gofiber/fiber
go-zero,zeromicro,23700, https://github.com/zeromicro/go-zero
swagger-ui,swagger-api,23700, https://github.com/swagger-api/swagger-ui
api-guidelines,microsoft,21200, https://github.com/microsoft/api-guidelines
parse-server,parse-community,20200, https://github.com/parse-community/parse-server
openapi-generator,OpenAPITools,15900, https://github.com/OpenAPITools/openapi-generator
swagger-codegen,swagger-api,15500, https://github.com/swagger-api/swagger-codegen
grpc-gateway,grpc-ecosystem,15200, https://github.com/grpc-ecosystem/grpc-gateway
chi,go-chi,13900, https://github.com/go-chi/chi
node-restify,restify,10600, https://github.com/restify/node-restify
ntfy,binwiederhier,9900, https://github.com/binwiederhier/ntfy
SpaceX-API,r-spacex,9800, https://github.com/r-spacex/SpaceX-API
http-prompt,httpie,8700, https://github.com/httpie/http-prompt
eShopOnWeb,dotnet-architecture,8700, https://github.com/dotnet-architecture/eShopOnWeb
cakephp,cakephp,8600, https://github.com/cakephp/cakephp
