Repository Name,Repository Username,Stars Received,Repository URL
rails,rails,52600, https://github.com/rails/rails
discourse,discourse,37700, https://github.com/discourse/discourse
gitlabhq,gitlabhq,23200, https://github.com/gitlabhq/gitlabhq
devise,heartcombo,23100, https://github.com/heartcombo/devise
forem,forem,20400, https://github.com/forem/forem
chatwoot,chatwoot,14900, https://github.com/chatwoot/chatwoot
diaspora,diaspora,13200, https://github.com/diaspora/diaspora
spree,spree,12200, https://github.com/spree/spree
activeadmin,activeadmin,9300, https://github.com/activeadmin/activeadmin
kaminari,kaminari,8400, https://github.com/kaminari/kaminari
simple_form,heartcombo,8100, https://github.com/heartcombo/simple_form
factory_bot,thoughtbot,7700, https://github.com/thoughtbot/factory_bot
octicons,primer,7700, https://github.com/primer/octicons
buffalo,gobuffalo,7600, https://github.com/gobuffalo/buffalo
brakeman,presidentbeef,6600, https://github.com/presidentbeef/brakeman
react-rails,reactjs,6600, https://github.com/reactjs/react-rails
paper_trail,paper-trail-gem,6500, https://github.com/paper-trail-gem/paper_trail
rails-style-guide,rubocop,6300, https://github.com/rubocop/rails-style-guide
searchkick,ankane,6200, https://github.com/ankane/searchkick
friendly_id,norman,6000, https://github.com/norman/friendly_id
