Repository Name,Repository Username,Stars Received,Repository URL
react-native,facebook,109000, https://github.com/facebook/react-native
free-programming-books-zh_CN,justjavac,102000, https://github.com/justjavac/free-programming-books-zh_CN
storybook,storybookjs,77900, https://github.com/storybookjs/storybook
awesome-react,enaqx,54700, https://github.com/enaqx/awesome-react
joplin,laurent22,35300, https://github.com/laurent22/joplin
open-source-ios-apps,dkhamsing,34300, https://github.com/dkhamsing/open-source-ios-apps
react-hook-form,react-hook-form,34300, https://github.com/react-hook-form/react-hook-form
awesome-react-native,jondot,32700, https://github.com/jondot/awesome-react-native
taro,NervJS,32700, https://github.com/NervJS/taro
formik,jaredpalmer,32200, https://github.com/jaredpalmer/formik
typeorm,typeorm,30900, https://github.com/typeorm/typeorm
reactjs-interview-questions,sudheerj,28500, https://github.com/sudheerj/reactjs-interview-questions
swr,vercel,26300, https://github.com/vercel/swr
mattermost-server,mattermost,25100, https://github.com/mattermost/mattermost-server
react-native-elements,react-native-elements,23500, https://github.com/react-native-elements/react-native-elements
react-navigation,react-navigation,22300, https://github.com/react-navigation/react-navigation
react-native-web,necolas,20700, https://github.com/necolas/react-native-web
expo,expo,19900, https://github.com/expo/expo
NativeBase,GeekyAnts,19200, https://github.com/GeekyAnts/NativeBase
rxdb,pubkey,19100, https://github.com/pubkey/rxdb
