Repository Name,Repository Username,Stars Received,Repository URL
freeCodeCamp,freeCodeCamp,364000, https://github.com/freeCodeCamp/freeCodeCamp
react,facebook,206000, https://github.com/facebook/react
react-native,facebook,109000, https://github.com/facebook/react-native
next.js,vercel,104000, https://github.com/vercel/next.js
free-programming-books-zh_CN,justjavac,102000, https://github.com/justjavac/free-programming-books-zh_CN
create-react-app,facebook,99400, https://github.com/facebook/create-react-app
material-ui,mui,85700, https://github.com/mui/material-ui
ant-design,ant-design,85300, https://github.com/ant-design/ant-design
storybook,storybookjs,77900, https://github.com/storybookjs/storybook
33-js-concepts,leonardomso,55700, https://github.com/leonardomso/33-js-concepts
awesome-react,enaqx,54700, https://github.com/enaqx/awesome-react
gatsby,gatsbyjs,54300, https://github.com/gatsbyjs/gatsby
superset,apache,51300, https://github.com/apache/superset
ionic-framework,ionic-team,48900, https://github.com/ionic-team/ionic-framework
docusaurus,facebook,43600, https://github.com/facebook/docusaurus
meteor,meteor,43400, https://github.com/meteor/meteor
hyper,vercel,40700, https://github.com/vercel/hyper
bun,oven-sh,40500, https://github.com/oven-sh/bun
react,typescript-cheatsheets,40400, https://github.com/typescript-cheatsheets/react
styled-components,styled-components,38600, https://github.com/styled-components/styled-components
