Repository Name,Repository Username,Stars Received,Repository URL
redux,reduxjs,59400, https://github.com/reduxjs/redux
30-Days-Of-JavaScript,Asabeneh,34900, https://github.com/Asabeneh/30-Days-Of-JavaScript
react-boilerplate,react-boilerplate,29100, https://github.com/react-boilerplate/react-boilerplate
reactjs-interview-questions,sudheerj,28500, https://github.com/sudheerj/reactjs-interview-questions
immer,immerjs,25000, https://github.com/immerjs/immer
react-redux,reduxjs,22700, https://github.com/reduxjs/react-redux
redux-saga,redux-saga,22400, https://github.com/redux-saga/redux-saga
react-redux-links,markerikson,22200, https://github.com/markerikson/react-redux-links
normalizr,paularmstrong,21000, https://github.com/paularmstrong/normalizr
30-Days-Of-React,Asabeneh,20100, https://github.com/Asabeneh/30-Days-Of-React
js-stack-from-scratch,verekia,19800, https://github.com/verekia/js-stack-from-scratch
responsively-app,responsively-org,19500, https://github.com/responsively-org/responsively-app
reselect,reduxjs,18900, https://github.com/reduxjs/reselect
dva,dvajs,16100, https://github.com/dvajs/dva
front-end-guide,grab,14800, https://github.com/grab/front-end-guide
reactotron,infinitered,14000, https://github.com/infinitered/reactotron
redux-devtools-extension,zalmoxisus,13500, https://github.com/zalmoxisus/redux-devtools-extension
react-redux-typescript-guide,piotrwitek,13000, https://github.com/piotrwitek/react-redux-typescript-guide
redux-form,redux-form,12600, https://github.com/redux-form/redux-form
redux-persist,rt2zz,12500, https://github.com/rt2zz/redux-persist
