Repository Name,Repository Username,Stars Received,Repository URL
awesome-interview-questions,DopplerHQ,54600, https://github.com/DopplerHQ/awesome-interview-questions
rails,rails,52600, https://github.com/rails/rails
jekyll,jekyll,46400, https://github.com/jekyll/jekyll
discourse,discourse,37700, https://github.com/discourse/discourse
fastlane,fastlane,36800, https://github.com/fastlane/fastlane
brew,Homebrew,35600, https://github.com/Homebrew/brew
open-source-mac-os-apps,serhii-londar,34900, https://github.com/serhii-londar/open-source-mac-os-apps
selenium,SeleniumHQ,26200, https://github.com/SeleniumHQ/selenium
vagrant,hashicorp,25100, https://github.com/hashicorp/vagrant
gitlabhq,gitlabhq,23200, https://github.com/gitlabhq/gitlabhq
devise,heartcombo,23100, https://github.com/heartcombo/devise
forem,forem,20400, https://github.com/forem/forem
ruby,ruby,20200, https://github.com/ruby/ruby
graal,oracle,18400, https://github.com/oracle/graal
asdf,asdf-vm,17200, https://github.com/asdf-vm/asdf
ruby-style-guide,rubocop,16200, https://github.com/rubocop/ruby-style-guide
setup,lewagon,15400, https://github.com/lewagon/setup
rbenv,rbenv,15000, https://github.com/rbenv/rbenv
diaspora,diaspora,13200, https://github.com/diaspora/diaspora
awesome-ruby,markets,12800, https://github.com/markets/awesome-ruby
