Repository Name,Repository Username,Stars Received,Repository URL
deno,denoland,88900, https://github.com/denoland/deno
rust,rust-lang,80000, https://github.com/rust-lang/rust
tauri,tauri-apps,62000, https://github.com/tauri-apps/tauri
alacritty,alacritty,46000, https://github.com/alacritty/alacritty
bat,sharkdp,40600, https://github.com/sharkdp/bat
rustdesk,rustdesk,40400, https://github.com/rustdesk/rustdesk
ripgrep,BurntSushi,37100, https://github.com/BurntSushi/ripgrep
rustlings,rust-lang,36900, https://github.com/rust-lang/rustlings
meilisearch,meilisearch,35600, https://github.com/meilisearch/meilisearch
awesome-rust,rust-unofficial,33800, https://github.com/rust-unofficial/awesome-rust
starship,starship,33600, https://github.com/starship/starship
AppFlowy,AppFlowy-IO,33400, https://github.com/AppFlowy-IO/AppFlowy
ChatGPT,lencx,30700, https://github.com/lencx/ChatGPT
yew,yewstack,27100, https://github.com/yewstack/yew
fd,sharkdp,27000, https://github.com/sharkdp/fd
swc,swc-project,26900, https://github.com/swc-project/swc
vaultwarden,dani-garcia,24200, https://github.com/dani-garcia/vaultwarden
nushell,nushell,24100, https://github.com/nushell/nushell
bevy,bevyengine,23100, https://github.com/bevyengine/bevy
servo,servo,22900, https://github.com/servo/servo
