Repository Name,Repository Username,Stars Received,Repository URL
spark,apache,35400, https://github.com/apache/spark
kafka,apache,24600, https://github.com/apache/kafka
flink,apache,21000, https://github.com/apache/flink
scala,scala,14100, https://github.com/scala/scala
BigData-Notes,heibaiying,13700, https://github.com/heibaiying/BigData-Notes
lila,lichess-org,13000, https://github.com/lichess-org/lila
deeplearning4j,deeplearning4j,12900, https://github.com/deeplearning4j/deeplearning4j
predictionio,apache,12600, https://github.com/apache/predictionio
playframework,playframework,12400, https://github.com/playframework/playframework
CMAK,yahoo,11300, https://github.com/yahoo/CMAK
milewski-ctfp-pdf,hmemcpy,10100, https://github.com/hmemcpy/milewski-ctfp-pdf
mal,kanaka,9200, https://github.com/kanaka/mal
gitbucket,gitbucket,8900, https://github.com/gitbucket/gitbucket
awesomo,lk-geimfari,8900, https://github.com/lk-geimfari/awesomo
awesome-scala,lauris,8700, https://github.com/lauris/awesome-scala
finagle,twitter,8600, https://github.com/twitter/finagle
angel,Angel-ML,6700, https://github.com/Angel-ML/angel
zeppelin,apache,6000, https://github.com/apache/zeppelin
gatling,gatling,5900, https://github.com/gatling/gatling
dotty,lampepfl,5300, https://github.com/lampepfl/dotty
