Repository Name,Repository Username,Stars Received,Repository URL
github-readme-stats,anuraghazra,53900, https://github.com/anuraghazra/github-readme-stats
serverless,serverless,44500, https://github.com/serverless/serverless
kong,Kong,34500, https://github.com/Kong/kong
tidb,pingcap,33800, https://github.com/pingcap/tidb
appwrite,appwrite,30500, https://github.com/appwrite/appwrite
faas,openfaas,22900, https://github.com/openfaas/faas
react-starter-kit,kriasoft,21800, https://github.com/kriasoft/react-starter-kit
firecracker,firecracker-microvm,21300, https://github.com/firecracker-microvm/firecracker
dapr,dapr,20900, https://github.com/dapr/dapr
surrealdb,surrealdb,19400, https://github.com/surrealdb/surrealdb
ice,alibaba,17500, https://github.com/alibaba/ice
prisma1,prisma,16700, https://github.com/prisma/prisma1
pulumi,pulumi,15600, https://github.com/pulumi/pulumi
APIJSON,Tencent,15100, https://github.com/Tencent/APIJSON
cube,cube-js,14900, https://github.com/cube-js/cube
sst,serverless-stack,13400, https://github.com/serverless-stack/sst
chromeless,prisma-archive,13200, https://github.com/prisma-archive/chromeless
Zappa,Miserlou,11900, https://github.com/Miserlou/Zappa
apisix,apache,11600, https://github.com/apache/apisix
functions-samples,firebase,11600, https://github.com/firebase/functions-samples
