Repository Name,Repository Username,Stars Received,Repository URL
ZeroTierOne,zerotier,10800, https://github.com/zerotier/ZeroTierOne
mininet,mininet,4800, https://github.com/mininet/mininet
kube-ovn,kubeovn,1500, https://github.com/kubeovn/kube-ovn
sdn-handbook,feiskyer,1200, https://github.com/feiskyer/sdn-handbook
awesome-sdn,sdnds-tw,1200, https://github.com/sdnds-tw/awesome-sdn
dpdk-ans,ansyun,1100, https://github.com/ansyun/dpdk-ans
sdn-handbook,tonydeng,1000, https://github.com/tonydeng/sdn-handbook
zero-ui,dec0dOS,592, https://github.com/dec0dOS/zero-ui
faucet,faucetsdn,482, https://github.com/faucetsdn/faucet
fabedge,FabEdge,476, https://github.com/FabEdge/fabedge
poseidon,IQTLabs,382, https://github.com/IQTLabs/poseidon
Learning-SDN,YanHaoChen,336, https://github.com/YanHaoChen/Learning-SDN
computer-networking,bregman-arie,334, https://github.com/bregman-arie/computer-networking
stratum,stratum,318, https://github.com/stratum/stratum
ofsoftswitch13,CPqD,289, https://github.com/CPqD/ofsoftswitch13
vedetta,vedetta-com,285, https://github.com/vedetta-com/vedetta
Kathara,KatharaFramework,280, https://github.com/KatharaFramework/Kathara
yabgp,smartbgp,217, https://github.com/smartbgp/yabgp
husarnet,husarnet,214, https://github.com/husarnet/husarnet
a-deep-rl-approach-for-sdn-routing-optimization,knowledgedefinednetworking,206, https://github.com/knowledgedefinednetworking/a-deep-rl-approach-for-sdn-routing-optimization
