Repository Name,Repository Username,Stars Received,Repository URL
SpaceVim,SpaceVim,19800, https://github.com/SpaceVim/SpaceVim
vim-galore-zh_cn,wsdjeg,9600, https://github.com/wsdjeg/vim-galore-zh_cn
.SpaceVim.d,wsdjeg,1400, https://github.com/wsdjeg/.SpaceVim.d
vim-chat,wsdjeg,511, https://github.com/wsdjeg/vim-chat
Hack-SpaceVim,Gabirel,447, https://github.com/Gabirel/Hack-SpaceVim
spacevim,ctjhoa,367, https://github.com/ctjhoa/spacevim
FlyGrep.vim,wsdjeg,296, https://github.com/wsdjeg/FlyGrep.vim
GitHub.vim,wsdjeg,194, https://github.com/wsdjeg/GitHub.vim
JavaUnit.vim,wsdjeg,108, https://github.com/wsdjeg/JavaUnit.vim
imenu.vim,wsdjeg,100, https://github.com/wsdjeg/imenu.vim
job.vim,wsdjeg,92, https://github.com/wsdjeg/job.vim
vim-markdown,SpaceVim,75, https://github.com/SpaceVim/vim-markdown
ideavimrc,prontera,75, https://github.com/prontera/ideavimrc
SpaceVim,mrbeardad,73, https://github.com/mrbeardad/SpaceVim
gtags.vim,SpaceVim,71, https://github.com/SpaceVim/gtags.vim
cscope.vim,SpaceVim,67, https://github.com/SpaceVim/cscope.vim
spaceneovim-layers,Tehnix,40, https://github.com/Tehnix/spaceneovim-layers
SpaceVimTutorial,everettjf,13, https://github.com/everettjf/SpaceVimTutorial
vimlociraptor,lucasprag,13, https://github.com/lucasprag/vimlociraptor
vim-pact,wsdjeg,10, https://github.com/wsdjeg/vim-pact
