Repository Name,Repository Username,Stars Received,Repository URL
free-programming-books-zh_CN,justjavac,102000, https://github.com/justjavac/free-programming-books-zh_CN
Alamofire,Alamofire,39200, https://github.com/Alamofire/Alamofire
open-source-mac-os-apps,serhii-londar,34900, https://github.com/serhii-londar/open-source-mac-os-apps
open-source-ios-apps,dkhamsing,34300, https://github.com/dkhamsing/open-source-ios-apps
iina,iina,32900, https://github.com/iina/iina
gold-miner,xitu,32200, https://github.com/xitu/gold-miner
ShadowsocksX-NG,shadowsocks,31300, https://github.com/shadowsocks/ShadowsocksX-NG
appwrite,appwrite,30500, https://github.com/appwrite/appwrite
swift-algorithm-club,kodecocodes,27600, https://github.com/kodecocodes/swift-algorithm-club
SDWebImage,SDWebImage,24600, https://github.com/SDWebImage/SDWebImage
lottie-ios,airbnb,23900, https://github.com/airbnb/lottie-ios
RxSwift,ReactiveX,23300, https://github.com/ReactiveX/RxSwift
awesome-swift,matteocrippa,23100, https://github.com/matteocrippa/awesome-swift
vapor,vapor,22700, https://github.com/vapor/vapor
NativeScript,NativeScript,22400, https://github.com/NativeScript/NativeScript
SwiftyJSON,SwiftyJSON,21900, https://github.com/SwiftyJSON/SwiftyJSON
MonitorControl,MonitorControl,21500, https://github.com/MonitorControl/MonitorControl
Hero,HeroTransitions,21300, https://github.com/HeroTransitions/Hero
Kingfisher,onevcat,21100, https://github.com/onevcat/Kingfisher
ReactiveCocoa,ReactiveCocoa,20000, https://github.com/ReactiveCocoa/ReactiveCocoa
