Repository Name,Repository Username,Stars Received,Repository URL
tqdm,tqdm,24400, https://github.com/tqdm/tqdm
RSSHub,DIYgod,23900, https://github.com/DIYgod/RSSHub
Telegram,DrKLO,21900, https://github.com/DrKLO/Telegram
python-telegram-bot,python-telegram-bot,21600, https://github.com/python-telegram-bot/python-telegram-bot
tdesktop,telegramdesktop,21500, https://github.com/telegramdesktop/tdesktop
Open-IM-Server,OpenIMSDK,10600, https://github.com/OpenIMSDK/Open-IM-Server
chat,tinode,10100, https://github.com/tinode/chat
SmsForwarder,pppscn,8500, https://github.com/pppscn/SmsForwarder
webogram,zhukov,7800, https://github.com/zhukov/webogram
Telethon,LonamiWebs,7600, https://github.com/LonamiWebs/Telethon
node-telegram-bot-api,yagop,7000, https://github.com/yagop/node-telegram-bot-api
pyTelegramBotAPI,eternnoir,6700, https://github.com/eternnoir/pyTelegramBotAPI
telegraf,telegraf,6600, https://github.com/telegraf/telegraf
community-edition,ramboxapp,6300, https://github.com/ramboxapp/community-edition
matterbridge,42wim,5600, https://github.com/42wim/matterbridge
td,tdlib,5500, https://github.com/tdlib/td
alerts-and-pickers,dillidon,5500, https://github.com/dillidon/alerts-and-pickers
TelegramGroup,itgoyo,5100, https://github.com/itgoyo/TelegramGroup
telegram-bot-api,go-telegram-bot-api,4500, https://github.com/go-telegram-bot-api/telegram-bot-api
Messenger,relatedcode,4500, https://github.com/relatedcode/Messenger
