Repository Name,Repository Username,Stars Received,Repository URL
tensorflow,tensorflow,173000, https://github.com/tensorflow/tensorflow
transformers,huggingface,91600, https://github.com/huggingface/transformers
keras,keras-team,57800, https://github.com/keras-team/keras
TensorFlow-Examples,aymericdamien,42700, https://github.com/aymericdamien/TensorFlow-Examples
Real-Time-Voice-Cloning,CorentinJ,40800, https://github.com/CorentinJ/Real-Time-Voice-Cloning
bert,google-research,33800, https://github.com/google-research/bert
gold-miner,xitu,32200, https://github.com/xitu/gold-miner
photoprism,photoprism,25500, https://github.com/photoprism/photoprism
handson-ml,ageron,25000, https://github.com/ageron/handson-ml
ray,ray-project,25000, https://github.com/ray-project/ray
data-science-ipython-notebooks,donnemartin,24900, https://github.com/donnemartin/data-science-ipython-notebooks
Mask_RCNN,matterport,22900, https://github.com/matterport/Mask_RCNN
spleeter,deezer,22100, https://github.com/deezer/spleeter
netron,lutzroeder,21900, https://github.com/lutzroeder/netron
DeepSpeech,mozilla,21600, https://github.com/mozilla/DeepSpeech
100-Days-Of-ML-Code,MLEveryday,19700, https://github.com/MLEveryday/100-Days-Of-ML-Code
d2l-en,d2l-ai,17400, https://github.com/d2l-ai/d2l-en
ncnn,Tencent,16900, https://github.com/Tencent/ncnn
TensorFlow-Course,instillai,16300, https://github.com/instillai/TensorFlow-Course
datasets,huggingface,15800, https://github.com/huggingface/datasets
