Repository Name,Repository Username,Stars Received,Repository URL
ohmyzsh,ohmyzsh,157000, https://github.com/ohmyzsh/ohmyzsh
terminal,microsoft,88300, https://github.com/microsoft/terminal
alacritty,alacritty,46000, https://github.com/alacritty/alacritty
tabby,Eugeny,44800, https://github.com/Eugeny/tabby
tldr,tldr-pages,43800, https://github.com/tldr-pages/tldr
rich,Textualize,42800, https://github.com/Textualize/rich
hyper,vercel,40700, https://github.com/vercel/hyper
bat,sharkdp,40600, https://github.com/sharkdp/bat
edex-ui,GitSquared,36800, https://github.com/GitSquared/edex-ui
cheat.sh,chubin,35000, https://github.com/chubin/cheat.sh
lazygit,jesseduffield,33900, https://github.com/jesseduffield/lazygit
awesome-macos-command-line,herrbischoff,27300, https://github.com/herrbischoff/awesome-macos-command-line
httpie,httpie,27200, https://github.com/httpie/httpie
fd,sharkdp,27000, https://github.com/sharkdp/fd
modern-unix,ibraheemdev,26400, https://github.com/ibraheemdev/modern-unix
tqdm,tqdm,24400, https://github.com/tqdm/tqdm
iTerm2-Color-Schemes,mbadolato,22900, https://github.com/mbadolato/iTerm2-Color-Schemes
glances,nicolargo,22600, https://github.com/nicolargo/glances
autocomplete,withfig,21800, https://github.com/withfig/autocomplete
micro,zyedidia,21400, https://github.com/zyedidia/micro
