Repository Name,Repository Username,Stars Received,Repository URL
three.js,mrdoob,90600, https://github.com/mrdoob/three.js
aframe,aframevr,15200, https://github.com/aframevr/aframe
bullet3,bulletphysics,10500, https://github.com/bulletphysics/bullet3
engine,playcanvas,8300, https://github.com/playcanvas/engine
Relativty,relativty,6000, https://github.com/relativty/Relativty
VRTK,ExtendRealityLtd,3600, https://github.com/ExtendRealityLtd/VRTK
webxr,immersive-web,2700, https://github.com/immersive-web/webxr
viro,viromedia,2000, https://github.com/viromedia/viro
ipyvolume,widgetti,1800, https://github.com/widgetti/ipyvolume
REFramework,praydog,1600, https://github.com/praydog/REFramework
lovr,bjornbytes,1500, https://github.com/bjornbytes/lovr
aframe-react,supermedium,1400, https://github.com/supermedium/aframe-react
arcan,letoram,1300, https://github.com/letoram/arcan
awesome-aframe,aframevr,1300, https://github.com/aframevr/awesome-aframe
superframe,supermedium,1300, https://github.com/supermedium/superframe
android-3D-model-viewer,the3deer,1300, https://github.com/the3deer/android-3D-model-viewer
networked-aframe,networked-aframe,1100, https://github.com/networked-aframe/networked-aframe
DungeonTemplateLibrary,AsPJT,993, https://github.com/AsPJT/DungeonTemplateLibrary
exokit,exokitxr,953, https://github.com/exokitxr/exokit
utymap,reinterpretcat,904, https://github.com/reinterpretcat/utymap
