Repository Name,Repository Username,Stars Received,Repository URL
system-design-primer,donnemartin,217000, https://github.com/donnemartin/system-design-primer
uptime-kuma,louislam,31900, https://github.com/louislam/uptime-kuma
profile-summary-for-github,tipsy,19700, https://github.com/tipsy/profile-summary-for-github
spellbook-of-modern-webdev,dexteryy,16000, https://github.com/dexteryy/spellbook-of-modern-webdev
daily,dailydotdev,12300, https://github.com/dailydotdev/daily
filestash,mickael-kerjean,7700, https://github.com/mickael-kerjean/filestash
webglstudio.js,jagenjo,4900, https://github.com/jagenjo/webglstudio.js
Weylus,H-M-H,4800, https://github.com/H-M-H/Weylus
microblog,miguelgrinberg,4200, https://github.com/miguelgrinberg/microblog
nicegui,zauberzeug,3500, https://github.com/zauberzeug/nicegui
wave,h2oai,3500, https://github.com/h2oai/wave
blackhat-arsenal-tools,toolswatch,3300, https://github.com/toolswatch/blackhat-arsenal-tools
mpx,didi,3300, https://github.com/didi/mpx
app-privacy-policy-generator,nisrulz,3200, https://github.com/nisrulz/app-privacy-policy-generator
next-pwa,shadowwalker,2900, https://github.com/shadowwalker/next-pwa
uwsgi-nginx-flask-docker,tiangolo,2800, https://github.com/tiangolo/uwsgi-nginx-flask-docker
cloudtunes,jakubroztocil,2500, https://github.com/jakubroztocil/cloudtunes
jasypt-spring-boot,ulisesbocchio,2400, https://github.com/ulisesbocchio/jasypt-spring-boot
react-native-open-project,MarnoDev,2300, https://github.com/MarnoDev/react-native-open-project
metastream,samuelmaddock,2200, https://github.com/samuelmaddock/metastream
