Repository Name,Repository Username,Stars Received,Repository URL
vue-element-admin,PanJiaChen,81700, https://github.com/PanJiaChen/vue-element-admin
storybook,storybookjs,77900, https://github.com/storybookjs/storybook
webpack,webpack,62900, https://github.com/webpack/webpack
vue2-elm,bailicangdu,39900, https://github.com/bailicangdu/vue2-elm
ngx-admin,akveo,24400, https://github.com/akveo/ngx-admin
react-redux-links,markerikson,22200, https://github.com/markerikson/react-redux-links
electron-react-boilerplate,electron-react-boilerplate,21100, https://github.com/electron-react-boilerplate/electron-react-boilerplate
turbo,vercel,20700, https://github.com/vercel/turbo
generator-jhipster,jhipster,20500, https://github.com/jhipster/generator-jhipster
js-stack-from-scratch,verekia,19800, https://github.com/verekia/js-stack-from-scratch
mojs,mojs,18000, https://github.com/mojs/mojs
ice,alibaba,17500, https://github.com/alibaba/ice
react-loadable,jamiebuilds,16500, https://github.com/jamiebuilds/react-loadable
electron-vue,SimulatedGREG,15300, https://github.com/SimulatedGREG/electron-vue
front-end-guide,grab,14800, https://github.com/grab/front-end-guide
webpack-dashboard,FormidableLabs,13900, https://github.com/FormidableLabs/webpack-dashboard
vue2-manage,bailicangdu,12700, https://github.com/bailicangdu/vue2-manage
webpack-bundle-analyzer,webpack-contrib,12200, https://github.com/webpack-contrib/webpack-bundle-analyzer
d2-admin,d2-projects,12100, https://github.com/d2-projects/d2-admin
razzle,jaredpalmer,11000, https://github.com/jaredpalmer/razzle
