Repository Name,Repository Username,Stars Received,Repository URL
nginxconfig.io,digitalocean,25500, https://github.com/digitalocean/nginxconfig.io
stackedit,benweet,20200, https://github.com/benweet/stackedit
wp-calypso,Automattic,12200, https://github.com/Automattic/wp-calypso
sage,roots,12100, https://github.com/roots/sage
gutenberg,WordPress,8600, https://github.com/WordPress/gutenberg
woocommerce,woocommerce,8500, https://github.com/woocommerce/woocommerce
wpscan,wpscanteam,7500, https://github.com/wpscanteam/wpscan
bedrock,roots,5800, https://github.com/roots/bedrock
timber,timber,5200, https://github.com/timber/timber
wp-cli,wp-cli,4700, https://github.com/wp-cli/wp-cli
VVV,Varying-Vagrant-Vagrants,4600, https://github.com/Varying-Vagrant-Vagrants/VVV
headless-wp-starter,postlight,4300, https://github.com/postlight/headless-wp-starter
corcel,corcel,4000, https://github.com/corcel/corcel
lando,lando,3700, https://github.com/lando/lando
WordPress-iOS,wordpress-mobile,3500, https://github.com/wordpress-mobile/WordPress-iOS
wp-graphql,wp-graphql,3400, https://github.com/wp-graphql/wp-graphql
wp-bootstrap-navwalker,wp-bootstrap,3300, https://github.com/wp-bootstrap/wp-bootstrap-navwalker
argon-theme,solstice23,3300, https://github.com/solstice23/argon-theme
create-guten-block,ahmadawais,3200, https://github.com/ahmadawais/create-guten-block
sakura,mashirozx,3000, https://github.com/mashirozx/sakura
