Repository Name,Repository Username,Stars Received,Repository URL
sheetjs,SheetJS,32600, https://github.com/SheetJS/sheetjs
xbmc,xbmc,15600, https://github.com/xbmc/xbmc
excelize,qax-os,14700, https://github.com/qax-os/excelize
jsoup,jhy,10100, https://github.com/jhy/jsoup
koodo-reader,troyeguo,10100, https://github.com/troyeguo/koodo-reader
yq,mikefarah,8400, https://github.com/mikefarah/yq
refit,reactiveui,7000, https://github.com/reactiveui/refit
poco,pocoproject,6900, https://github.com/pocoproject/poco
structured-text-tools,dbohdan,6700, https://github.com/dbohdan/structured-text-tools
rest-assured,rest-assured,6300, https://github.com/rest-assured/rest-assured
nokogiri,sparklemotion,6000, https://github.com/sparklemotion/nokogiri
fq,wader,5900, https://github.com/wader/fq
countries,mledoze,5700, https://github.com/mledoze/countries
wiremock,wiremock,5500, https://github.com/wiremock/wiremock
ServiceStack,ServiceStack,5200, https://github.com/ServiceStack/ServiceStack
tokenizer,theseer,5000, https://github.com/theseer/tokenizer
countries-states-cities-database,dr5hn,4700, https://github.com/dr5hn/countries-states-cities-database
node-xml2js,Leonidas-from-XIV,4700, https://github.com/Leonidas-from-XIV/node-xml2js
tbox,tboox,4300, https://github.com/tboox/tbox
dasel,TomWright,4100, https://github.com/TomWright/dasel
