Repository Name,Repository Username,Stars Received,Repository URL
eShopOnContainers,dotnet-architecture,22900, https://github.com/dotnet-architecture/eShopOnContainers
mono,mono,10400, https://github.com/mono/mono
uno,unoplatform,7600, https://github.com/unoplatform/uno
ReactiveUI,reactiveui,7400, https://github.com/reactiveui/ReactiveUI
refit,reactiveui,7000, https://github.com/reactiveui/refit
NLog,NLog,5800, https://github.com/NLog/NLog
Xamarin.Forms,xamarin,5600, https://github.com/xamarin/Xamarin.Forms
MessagePack-CSharp,neuecc,4600, https://github.com/neuecc/MessagePack-CSharp
mobile,bitwarden,4500, https://github.com/bitwarden/mobile
xamarin-forms-samples,xamarin,4300, https://github.com/xamarin/xamarin-forms-samples
MvvmCross,MvvmCross,3800, https://github.com/MvvmCross/MvvmCross
SkiaSharp,mono,3300, https://github.com/mono/SkiaSharp
TensorFlowSharp,migueldeicaza,3100, https://github.com/migueldeicaza/TensorFlowSharp
LiveCharts2,beto-rodriguez,2700, https://github.com/beto-rodriguez/LiveCharts2
Caliburn.Micro,Caliburn-Micro,2600, https://github.com/Caliburn-Micro/Caliburn.Micro
CppSharp,mono,2600, https://github.com/mono/CppSharp
xamarin-forms-goodlooking-UI,jsuarezruiz,2500, https://github.com/jsuarezruiz/xamarin-forms-goodlooking-UI
Akavache,reactiveui,2300, https://github.com/reactiveui/Akavache
xamarin-macios,xamarin,2200, https://github.com/xamarin/xamarin-macios
awesome-xamarin,XamSome,1800, https://github.com/XamSome/awesome-xamarin
