Repository Name,Repository Username,Stars Received,Repository URL
flutter,flutter,152000, https://github.com/flutter/flutter
react-native,facebook,109000, https://github.com/facebook/react-native
free-programming-books-zh_CN,justjavac,102000, https://github.com/justjavac/free-programming-books-zh_CN
ionic-framework,ionic-team,48900, https://github.com/ionic-team/ionic-framework
material-design-icons,google,47900, https://github.com/google/material-design-icons
awesome-flutter,Solido,46200, https://github.com/Solido/awesome-flutter
awesome-ios,vsouza,42500, https://github.com/vsouza/awesome-ios
mkcert,FiloSottile,40300, https://github.com/FiloSottile/mkcert
uni-app,dcloudio,37900, https://github.com/dcloudio/uni-app
yolov5,ultralytics,37200, https://github.com/ultralytics/yolov5
fastlane,fastlane,36800, https://github.com/fastlane/fastlane
open-source-ios-apps,dkhamsing,34300, https://github.com/dkhamsing/open-source-ios-apps
sheetjs,SheetJS,32600, https://github.com/SheetJS/sheetjs
gold-miner,xitu,32200, https://github.com/xitu/gold-miner
ijkplayer,bilibili,31300, https://github.com/bilibili/ijkplayer
appwrite,appwrite,30500, https://github.com/appwrite/appwrite
SDWebImage,SDWebImage,24600, https://github.com/SDWebImage/SDWebImage
lottie-ios,airbnb,23900, https://github.com/airbnb/lottie-ios
react-native-elements,react-native-elements,23500, https://github.com/react-native-elements/react-native-elements
RxSwift,ReactiveX,23300, https://github.com/ReactiveX/RxSwift
