Repository Name,Repository Username,Stars Received,Repository URL
flutter,flutter,152000, https://github.com/flutter/flutter
the-art-of-command-line,jlevy,135000, https://github.com/jlevy/the-art-of-command-line
node,nodejs,94500, https://github.com/nodejs/node
awesome-mac,jaywcjlove,59500, https://github.com/jaywcjlove/awesome-mac
atom,atom,59300, https://github.com/atom/atom
alacritty,alacritty,46000, https://github.com/alacritty/alacritty
hyper,vercel,40700, https://github.com/vercel/hyper
mkcert,FiloSottile,40300, https://github.com/FiloSottile/mkcert
sherlock,sherlock-project,40200, https://github.com/sherlock-project/sherlock
marktext,marktext,39300, https://github.com/marktext/marktext
PowerShell,PowerShell,37800, https://github.com/PowerShell/PowerShell
edex-ui,GitSquared,36800, https://github.com/GitSquared/edex-ui
Motrix,agalwood,36600, https://github.com/agalwood/Motrix
brew,Homebrew,35600, https://github.com/Homebrew/brew
open-source-mac-os-apps,serhii-londar,34900, https://github.com/serhii-londar/open-source-mac-os-apps
nativefier,nativefier,33300, https://github.com/nativefier/nativefier
iina,iina,32900, https://github.com/iina/iina
ShadowsocksX-NG,shadowsocks,31300, https://github.com/shadowsocks/ShadowsocksX-NG
ChatGPT,lencx,30700, https://github.com/lencx/ChatGPT
Docker-OSX,sickcodes,29700, https://github.com/sickcodes/Docker-OSX
