Repository Name,Repository Username,Stars Received,Repository URL
nodebestpractices,goldbergyoni,88500, https://github.com/goldbergyoni/nodebestpractices
meteor,meteor,43400, https://github.com/meteor/meteor
yarn,yarnpkg,41100, https://github.com/yarnpkg/yarn
bun,oven-sh,40500, https://github.com/oven-sh/bun
lerna,lerna,34400, https://github.com/lerna/lerna
pnpm,pnpm,23000, https://github.com/pnpm/pnpm
verdaccio,verdaccio,14600, https://github.com/verdaccio/verdaccio
renovate,renovatebot,11800, https://github.com/renovatebot/renovate
tsdx,jaredpalmer,10700, https://github.com/jaredpalmer/tsdx
css.gg,astrit,9100, https://github.com/astrit/css.gg
npm-check-updates,raineorshine,8100, https://github.com/raineorshine/npm-check-updates
crawlee,apify,8100, https://github.com/apify/crawlee
magic,miniMAC,8000, https://github.com/miniMAC/magic
np,sindresorhus,7100, https://github.com/sindresorhus/np
cli,npm,7000, https://github.com/npm/cli
npkill,voidcosmos,6900, https://github.com/voidcosmos/npkill
release-it,release-it,6300, https://github.com/release-it/release-it
reference,jaywcjlove,5500, https://github.com/jaywcjlove/reference
npm-run-all,mysticatea,5300, https://github.com/mysticatea/npm-run-all
tsparticles,matteobruni,5200, https://github.com/matteobruni/tsparticles
