Repository Name,Repository Username,Stars Received,Repository URL
ML-For-Beginners,microsoft,47400, https://github.com/microsoft/ML-For-Beginners
100-Days-Of-ML-Code,Avik-Jain,40600, https://github.com/Avik-Jain/100-Days-Of-ML-Code
PythonDataScienceHandbook,jakevdp,38000, https://github.com/jakevdp/PythonDataScienceHandbook
ailearning,apachecn,35100, https://github.com/apachecn/ailearning
handson-ml,ageron,25000, https://github.com/ageron/handson-ml
data-science-ipython-notebooks,donnemartin,24900, https://github.com/donnemartin/data-science-ipython-notebooks
onnx,onnx,14400, https://github.com/onnx/onnx
Virgilio,virgili0,13400, https://github.com/virgili0/Virgilio
best-of-ml-python,ml-tooling,13400, https://github.com/ml-tooling/best-of-ml-python
python-machine-learning-book,rasbt,11800, https://github.com/rasbt/python-machine-learning-book
dask,dask,10900, https://github.com/dask/dask
tpot,EpistasisLab,9000, https://github.com/EpistasisLab/tpot
onnxruntime,microsoft,8800, https://github.com/microsoft/onnxruntime
mlcourse.ai,Yorko,8700, https://github.com/Yorko/mlcourse.ai
machinelearning,ljpzzz,7500, https://github.com/ljpzzz/machinelearning
auto-sklearn,automl,6800, https://github.com/automl/auto-sklearn
python-machine-learning-book-2nd-edition,rasbt,6800, https://github.com/rasbt/python-machine-learning-book-2nd-edition
featuretools,alteryx,6600, https://github.com/alteryx/featuretools
sktime,sktime,6300, https://github.com/sktime/sktime
autogluon,autogluon,5600, https://github.com/autogluon/autogluon
